,WellName,unique_core_descriptions.csv,unique_core_photos.csv,unique_discovery.csv,unique_GEOLINK.csv,unique_Norwegian_shows_v2.csv,unique_public_core_images_excel_recording.csv,unique_RealLogs_Por_Perm.csv,unique_RealLogs_completion.csv,unique_stratigraphic_picks.csv,Occurances
1176,6507_8_2,0,0,0,0,1,0,1,0,0,4
1177,15_9_9,0,0,1,1,1,0,1,0,1,10
1178,16_1_5,0,0,0,0,0,0,1,0,1,4
1179,34_8_3,0,0,0,1,0,0,1,0,1,6
1180,31_6_2,0,0,0,0,0,0,1,0,1,4
1181,35_9_12,0,0,0,0,0,0,1,0,1,4
1182,3_7_7,0,0,0,0,0,0,1,0,0,2
1183,16_2_22_S,0,0,0,0,0,0,1,0,0,2
1184,30_9_10,0,0,1,0,0,0,0,0,1,4
1185,6506_12_12,0,0,1,0,0,0,1,0,0,4
1186,6_3_2,0,0,0,1,0,0,0,0,1,4
1187,6609_10_1,0,0,0,0,0,0,1,0,0,2
1188,16_3_5,0,0,0,0,0,0,1,0,1,4
1189,25_7_8,0,0,1,0,0,0,0,0,0,2
1190,6506_12_4,1,0,0,0,1,1,1,1,0,10
1191,9_2_6S,0,0,0,0,0,0,1,0,0,2
1192,6407_9_5,0,0,0,0,1,0,1,0,0,4
1193,31_3_1,0,0,0,1,0,0,1,0,1,6
1194,6508_5_1,0,0,0,0,0,0,1,0,0,2
1195,34_10_35,0,0,0,1,0,0,1,0,1,6
1196,16_2_19,0,0,0,0,0,0,1,0,1,4
1197,6407_2_2,1,1,0,0,1,1,1,1,0,12
1198,7_12_7,0,0,0,0,0,0,1,0,1,4
1199,30_3_1_R,0,0,0,0,0,0,1,0,0,2
1200,25_10_7S,0,0,0,0,0,0,1,0,0,2
1201,2008_02_07,0,0,1,0,0,0,0,0,0,2
1202,6305_8_A_2,0,0,0,0,0,0,1,0,0,2
1203,7120_7_3,0,0,0,0,0,0,1,0,0,2
1204,7216_11_1_S,0,0,0,0,0,0,1,0,0,2
1205,30_9_22,0,0,1,0,0,0,1,0,1,6
1206,16_9_1,0,0,0,1,0,0,0,0,1,4
1207,2_7_2,0,0,0,0,1,0,1,0,0,4
1208,35_1_1,0,0,0,0,0,0,1,0,1,4
1209,2_7_1,0,0,1,0,1,0,1,0,0,6
1210,15_9_A_5T2,0,0,0,0,0,0,1,0,0,2
1211,9_2_9S,0,0,0,0,0,0,1,0,0,2
1212,15_5_4,0,0,0,0,1,0,1,0,1,6
1213,6305_9_1,0,0,0,0,0,0,1,0,0,2
1214,6507_11_6,0,0,1,0,0,0,1,0,0,4
1215,2_8_11,0,0,0,0,0,0,1,0,0,2
1216,7220_4_1,0,0,1,0,0,0,1,0,0,4
1217,35_11_10_A,0,0,0,0,1,0,0,0,0,2
1218,6605_08_01,0,0,1,0,0,0,0,0,0,2
1219,7121_5_1,0,0,0,0,0,0,1,0,0,2
1220,30_6_28,0,0,1,0,0,0,0,0,1,4
1221,34_10_40,0,0,1,0,0,0,0,0,1,4
1222,2_1_3,0,0,1,0,0,0,0,0,0,2
1223,30_6_7,0,0,0,0,0,0,0,0,1,2
1224,2_12_2,0,0,0,0,1,0,0,0,0,2
1225,34_10_B9,0,0,0,0,0,0,1,0,0,2
1226,31_2_N_11,0,0,1,0,0,0,1,0,0,4
1227,16_1_10,0,0,0,0,0,0,1,0,1,4
1228,34_3_3,0,0,1,1,0,0,1,0,1,8
1229,2_6_3,0,0,0,0,1,0,1,0,0,4
1230,7125_1_1,0,0,1,0,0,0,0,0,0,2
1231,34_7_I_11_H,0,0,0,0,0,0,1,0,0,2
1232,25_11_C_17H,0,0,0,0,0,0,1,0,0,2
1233,7_4_3,0,0,0,0,0,0,0,0,1,2
1234,25_2_C_2H,0,0,0,0,0,0,1,0,0,2
1235,31_5_4S,0,0,0,0,0,0,1,0,0,2
1236,34_4_6,0,0,0,0,0,0,1,0,1,4
1237,35_11_B_23_H,0,0,1,0,0,0,0,0,0,2
1238,34_10_C_29,0,0,0,0,0,0,1,0,0,2
1239,16_3_4,0,0,0,0,0,0,1,0,1,4
1240,1_6_7,0,0,0,0,1,0,1,0,0,4
1241,16_2_14,0,0,0,0,0,0,1,0,1,4
1242,1_9_1,0,0,1,0,0,0,0,0,0,2
1243,16_2_12,0,0,0,0,0,0,1,0,1,4
1244,15_12_1,0,0,0,0,1,0,1,0,1,6
1245,2_11_9,0,0,0,0,0,0,1,0,0,2
1246,31_2_19,0,0,0,1,0,0,1,0,1,6
1247,17_12_4,0,0,0,0,0,0,1,0,1,4
1248,25_11_6,0,0,0,0,0,0,0,0,1,2
1249,25_5_A_9,0,0,0,0,0,0,1,0,0,2
1250,7_11_4,0,0,0,0,0,0,0,0,1,2
1251,35_11_22,0,0,1,0,0,0,0,0,0,2
1252,6507_8_6,0,0,0,0,1,0,1,0,0,4
1253,10_7_1,0,0,0,0,0,0,1,0,1,4
1254,31_5_H_5H,0,0,0,0,0,0,1,0,0,2
1255,35_2_1,0,0,1,0,0,0,0,0,1,4
1256,25_11_9,0,0,0,0,0,0,1,0,1,4
1257,25_11_B_14H,0,0,0,0,0,0,1,0,0,2
1258,30_9_B15,0,0,0,0,0,0,1,0,0,2
1259,6506_12_8,0,0,0,0,1,0,0,0,0,2
1260,15_9_A_12,0,0,0,0,0,0,1,0,0,2
1261,30_9_5,0,0,1,0,0,0,1,0,1,6
1262,7120_2_3,0,0,1,0,0,0,1,0,0,4
1263,30_6_23,0,0,0,1,0,0,1,0,1,6
1264,6406_2_6A,0,0,0,0,0,0,1,0,0,2
1265,30_9_B50H,0,0,0,0,0,0,1,0,0,2
1266,34_10_C_21,0,0,0,0,0,0,1,0,0,2
1267,15_12_21,0,0,1,0,0,0,1,0,1,6
1268,6407_6_3,1,1,1,0,1,1,1,1,0,14
1269,6611_1_1,0,0,1,0,0,0,0,0,0,2
1270,25_11_19_S,0,0,0,0,1,0,1,0,0,4
1271,7220_11_1,0,0,1,0,0,0,1,0,0,4
1272,34_11_A_4,0,0,0,0,0,0,1,0,0,2
1273,16_1_11,0,0,0,0,0,0,1,0,1,4
1274,35_11_15S,0,0,0,0,0,0,1,0,0,2
1275,2_7_22,0,0,0,0,1,0,0,0,0,2
1276,7120_10_1,0,0,0,0,0,0,1,0,0,2
1277,16_2_9,0,0,0,0,0,0,1,0,1,4
1278,16_1_19,0,0,0,0,0,0,1,0,1,4
1279,24_9_4,0,0,0,0,1,0,0,0,1,4
1280,30_6_30,0,0,1,0,0,0,0,0,0,2
1281,8_4_1,0,0,0,0,0,0,0,0,1,2
1282,6407_1_4,0,0,0,0,1,0,1,0,0,4
1283,7_12_A01,0,0,0,0,0,0,1,0,0,2
1284,35_4_1,0,0,0,1,0,0,1,0,1,6
1285,2_1_13,0,0,0,0,0,0,1,0,0,2
1286,7121_5_3,0,0,0,0,0,0,1,0,0,2
1287,2_1_5,0,0,0,0,1,0,0,0,0,2
1288,2_4_8,0,0,0,0,1,0,1,0,0,4
1289,34_11_A_11,0,0,0,0,0,0,1,0,0,2
1290,7_11_5,0,0,1,0,0,0,0,0,1,4
1291,7019_01_01,0,0,1,0,0,0,0,0,0,2
1292,6605_1_1,0,0,0,0,0,0,1,0,0,2
1293,6405_7_1,0,0,1,0,0,0,1,0,0,4
1294,31_2_20,0,0,0,0,0,0,0,0,1,2
1295,30_3_A_9,0,0,0,0,0,0,1,0,0,2
1296,30_9_7,0,0,1,0,0,0,0,0,1,4
1297,15_3_4,0,0,1,0,1,0,1,0,1,8
1298,30_10_1,0,0,0,0,0,0,0,0,1,2
1299,24_9_14,0,0,1,0,0,0,0,0,0,2
1300,6407_1_6,0,0,1,0,0,0,0,0,0,2
1301,6407_8_4,0,0,1,0,0,0,1,0,0,4
1302,34_7_J_1,0,0,0,0,0,0,1,0,0,2
1303,25_2_14,0,0,0,1,0,0,1,0,1,6
1304,26_5_1,0,0,0,0,0,0,0,0,1,2
1305,16_10_5,0,0,0,1,0,0,0,0,1,4
1306,16_1_9,0,0,1,0,0,0,1,0,1,6
1307,7120_8_3,0,0,0,0,0,0,1,0,0,2
1308,15_9_B_7,0,0,0,0,0,0,1,0,0,2
1309,25_11_13,0,0,0,0,0,0,0,0,1,2
1310,7_7_2,0,0,1,0,0,0,0,0,1,4
1311,30_9_17,0,0,0,0,0,0,0,0,1,2
1312,30_9_23,0,0,0,0,0,0,0,0,1,2
1313,25_11_16,0,0,1,0,0,0,1,0,1,6
1314,25_8_15,0,0,0,0,0,0,0,0,1,2
1315,6406_6_4,0,0,1,0,0,0,0,0,0,2
1316,34_4_8,0,0,0,0,0,0,0,0,1,2
1317,33_9_14,0,0,0,0,0,0,1,0,1,4
1318,2_5_8,0,0,0,0,0,0,1,0,0,2
1319,6507_8_4,0,0,1,0,1,0,1,0,0,6
1320,16_2_14T2,0,0,0,0,0,0,1,0,0,2
1321,33_9_G_3H,0,0,0,0,0,0,1,0,0,2
1322,34_11_3,0,0,0,1,1,0,1,0,1,8
1323,6305_12_2,0,0,0,0,1,0,0,0,0,2
1324,30_3_A11,0,0,0,0,0,0,1,0,0,2
1325,31_2_17,0,0,0,1,0,0,0,0,1,4
1326,7220_6_2,0,0,1,0,0,0,1,0,0,4
1327,6407_9_C_2_H,0,0,0,0,1,0,0,0,0,2
1328,16_2_8,0,0,0,0,0,0,1,0,1,4
1329,34_7_I_5_H,0,0,0,0,0,0,1,0,0,2
1330,2014_02_04,0,0,1,0,0,0,0,0,0,2
1331,7121_4_F_2,0,0,0,0,0,0,1,0,0,2
1332,6407_1_7,0,0,0,0,0,0,1,0,0,2
1333,15_12_9,0,0,0,0,0,0,0,0,1,2
1334,33_6_2,0,0,0,1,1,0,1,0,1,8
1335,15_9_B_1,0,0,1,0,0,0,0,0,0,2
1336,15_3_5,0,0,0,0,1,0,1,0,1,6
1337,34_10_34,0,0,1,0,1,0,1,0,1,8
1338,6604_10_01,0,0,1,0,0,0,0,0,0,2
1339,16_1_15,0,0,0,0,0,0,1,0,1,4
1340,30_10_3,0,0,0,0,0,0,0,0,1,2
1341,7221_12_1,0,0,1,0,0,0,1,0,0,4
1342,6507_8_5,0,0,0,0,0,0,1,0,0,2
1343,30_3_A1,0,0,0,0,0,0,1,0,0,2
1344,7_12_A_09,0,0,0,0,0,0,1,0,0,2
1345,6505_10_1,0,0,0,0,0,1,1,1,0,6
1346,25_1_10,0,0,0,0,0,0,0,0,1,2
1347,30_9_12,0,0,0,0,0,0,1,0,1,4
1348,2_11_10,0,0,1,0,0,0,0,0,0,2
1349,2_4_11,0,0,1,0,1,0,0,0,0,4
1350,30_6_2,0,0,0,0,0,0,1,0,1,4
1351,25_11_8,0,0,0,0,0,0,1,0,1,4
1352,15_12_10S,0,0,0,0,0,0,1,0,0,2
1353,31_3_Q_21_H,0,0,0,0,0,0,1,0,0,2
1354,6506_12_K_3,0,0,0,0,0,0,1,0,0,2
1355,9_10_1,0,0,0,0,0,0,0,0,1,2
1356,31_2_5,0,0,0,0,0,0,0,0,1,2
1357,7219_8_2,0,0,1,0,0,0,1,0,0,4
1358,2_1_4,0,0,0,0,0,0,1,0,0,2
1359,24_9_P_4,0,0,0,0,0,0,1,0,0,2
1360,2_4_X_47,0,0,0,0,0,0,1,0,0,2
1361,7220_10_1,0,0,1,0,0,0,1,0,0,4
1362,33_9_17,0,0,0,0,0,0,1,0,1,4
1363,6507_7_A_46,0,0,0,0,1,0,1,0,0,4
1364,16_10_2,0,0,0,1,0,0,0,0,1,4
1365,7_12_3,0,0,0,0,0,0,1,0,1,4
1366,6407_6_1,1,1,0,0,1,1,1,1,0,12
1367,34_10_F_4_H,0,0,0,0,0,0,1,0,0,2
1368,9_4_5,0,0,0,0,0,0,1,0,1,4
1369,31_2_14,0,0,0,0,0,0,1,0,1,4
1370,7119_12_4,0,0,0,0,0,0,1,0,0,2
1371,33_2_2,0,0,1,0,0,0,1,0,1,6
1372,31_2_7,0,0,0,1,0,0,1,0,1,6
1373,11_5_1,0,0,0,0,0,0,1,0,1,4
1374,16_8_1,0,0,0,1,0,0,0,0,1,4
1375,35_11_20,0,0,1,0,0,0,1,0,0,4
1376,25_1_5,0,0,0,0,0,0,0,0,1,2
1377,2_11_A2,0,0,0,0,0,0,1,0,0,2
1378,7_8_4,0,0,0,0,0,0,1,0,1,4
1379,2_1_A30,0,0,0,0,0,0,1,0,0,2
1380,31_4_7,0,0,0,0,0,0,0,0,1,2
1381,24_9_1,0,0,0,0,1,0,0,0,1,4
1382,6507_2_5,0,0,1,0,0,0,0,0,0,2
1383,34_10_B_18,0,0,0,0,0,0,1,0,0,2
1384,30_4_1,0,0,0,1,0,0,0,0,1,4
1385,34_10_26,0,0,0,0,0,0,0,0,1,2
1386,7_12_11,0,0,0,0,0,0,1,0,1,4
1387,7324_7_2,0,0,1,0,0,0,1,0,0,4
1388,16_11_2,0,0,0,1,0,0,0,0,1,4
1389,6506_11_A_2,0,0,0,0,0,0,1,0,0,2
1390,16_2_21,0,0,0,0,0,0,1,0,1,4
1391,6507_7_A_40,0,0,0,0,0,0,1,0,0,2
