Depth.m	Hole ID.-	GR.API	Lithology1.-	Lithology2.-	Lithology3.-	Lithology1.%	Lithology2.%	Lithology3.%	Grain_size_Top.-	Grain_size_Base.-	Sub_Environment.-	Gross_Environment.-
1965.50	6507_11-2	13.86	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1965.60	6507_11-2	14.33	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1965.70	6507_11-2	14.73	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1965.80	6507_11-2	15.11	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1965.90	6507_11-2	15.20	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1966.00	6507_11-2	15.27	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1966.10	6507_11-2	15.28	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1966.20	6507_11-2	15.15	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1966.30	6507_11-2	14.93	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1966.40	6507_11-2	14.69	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1966.50	6507_11-2	14.44	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1966.60	6507_11-2	14.32	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1966.70	6507_11-2	14.35	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1966.80	6507_11-2	14.49	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1966.90	6507_11-2	14.68	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1967.00	6507_11-2	14.87	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1967.10	6507_11-2	15.06	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1967.20	6507_11-2	15.20	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1967.30	6507_11-2	15.26	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1967.40	6507_11-2	15.32	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1967.50	6507_11-2	15.38	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1967.60	6507_11-2	15.42	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1967.70	6507_11-2	15.30	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1967.80	6507_11-2	15.11	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1967.90	6507_11-2	14.92	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1968.00	6507_11-2	14.81	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1968.10	6507_11-2	15.04	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1968.20	6507_11-2	15.20	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1968.30	6507_11-2	15.32	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1968.40	6507_11-2	15.15	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1968.50	6507_11-2	14.96	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1968.60	6507_11-2	14.68	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1968.70	6507_11-2	14.39	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1968.80	6507_11-2	14.30	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1968.90	6507_11-2	14.53	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1969.00	6507_11-2	15.13	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1969.10	6507_11-2	15.53	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1969.20	6507_11-2	15.53	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1969.30	6507_11-2	15.53	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1969.40	6507_11-2	15.40	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1969.50	6507_11-2	15.20	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1969.60	6507_11-2	14.88	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1969.70	6507_11-2	14.35	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1969.80	6507_11-2	13.95	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1969.90	6507_11-2	13.70	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1970.00	6507_11-2	13.78	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1970.10	6507_11-2	13.93	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1970.20	6507_11-2	14.27	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1970.30	6507_11-2	14.35	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1970.40	6507_11-2	14.44	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1970.50	6507_11-2	14.74	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1970.60	6507_11-2	15.12	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1970.70	6507_11-2	15.59	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1970.80	6507_11-2	16.07	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1970.90	6507_11-2	16.42	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1971.00	6507_11-2	16.50	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1971.10	6507_11-2	16.58	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
1971.20	6507_11-2	16.66	Sandstone	Limestone	 	90.00	10.00	0.00	m/c	m/c	Hovedsaklig_strand/ovre_strand-skraning	DELTA_FRONT
