Depth.m	Hole ID.-	GR.API	Lithology1.-	Lithology2.-	Lithology3.-	Lithology1.%	Lithology2.%	Lithology3.%	Grain_size_Top.-	Grain_size_Base.-	Sub_Environment.-	Gross_Environment.-
2472.00	6407_6-3	64.17	Sandstone	 	 	100.00	0.00	0.00	c	c	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2472.10	6407_6-3	64.91	Sandstone	 	 	100.00	0.00	0.00	c	c	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2472.20	6407_6-3	65.41	Sandstone	 	 	100.00	0.00	0.00	c	c	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2472.30	6407_6-3	65.91	Sandstone	 	 	100.00	0.00	0.00	c	c	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2472.40	6407_6-3	66.41	Sandstone	 	 	100.00	0.00	0.00	c	c	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2472.50	6407_6-3	66.53	Sandstone	 	 	100.00	0.00	0.00	c	c	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2472.60	6407_6-3	66.66	Sandstone	 	 	100.00	0.00	0.00	c	c	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2472.70	6407_6-3	66.79	Sandstone	 	 	100.00	0.00	0.00	c	c	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2472.80	6407_6-3	66.68	Sandstone	 	 	100.00	0.00	0.00	c	c	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2472.90	6407_6-3	66.49	Sandstone	 	 	100.00	0.00	0.00	c	c	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2473.00	6407_6-3	66.30	Sandstone	 	 	100.00	0.00	0.00	c/vc	c/vc	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2473.10	6407_6-3	66.32	Sandstone	 	 	100.00	0.00	0.00	c/vc	c/vc	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2473.20	6407_6-3	66.46	Sandstone	 	 	100.00	0.00	0.00	c/vc	c/vc	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2473.30	6407_6-3	66.66	Sandstone	 	 	100.00	0.00	0.00	c/vc	c/vc	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2473.40	6407_6-3	67.41	Sandstone	 	 	100.00	0.00	0.00	c/vc	c/vc	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2473.50	6407_6-3	68.27	Sandstone	 	 	100.00	0.00	0.00	c	c	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2473.60	6407_6-3	70.01	Sandstone	 	 	100.00	0.00	0.00	c	c	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2473.70	6407_6-3	71.74	Sandstone	 	 	100.00	0.00	0.00	c	c	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2473.80	6407_6-3	73.91	Sandstone	 	 	100.00	0.00	0.00	c	c	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2473.90	6407_6-3	75.47	Sandstone	 	 	100.00	0.00	0.00	c	c	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2474.00	6407_6-3	76.11	Sandstone	 	 	100.00	0.00	0.00	c	c	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2474.10	6407_6-3	75.02	Sandstone	 	 	100.00	0.00	0.00	c	c	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2474.20	6407_6-3	73.10	Sandstone	 	 	100.00	0.00	0.00	c	c	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2474.30	6407_6-3	70.36	Sandstone	 	 	100.00	0.00	0.00	c	c	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2474.40	6407_6-3	69.46	Sandstone	 	 	100.00	0.00	0.00	c	c	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2474.50	6407_6-3	68.87	Sandstone	 	 	100.00	0.00	0.00	c	c	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2474.60	6407_6-3	68.54	Sandstone	 	 	100.00	0.00	0.00	c	c	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2474.70	6407_6-3	68.22	Sandstone	 	 	100.00	0.00	0.00	c	c	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2474.80	6407_6-3	68.20	Sandstone	 	 	100.00	0.00	0.00	c	c	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
2474.90	6407_6-3	68.23	Sandstone	 	 	100.00	0.00	0.00	c	c	Proksimal_braid_delta_front_or_braided_channel_syste	Braidplane-braid_delta_front
