,WellName,unique_core_descriptions.csv,unique_core_photos.csv,unique_discovery.csv,unique_GEOLINK.csv,unique_Norwegian_shows_v2.csv,unique_public_core_images_excel_recording.csv,unique_RealLogs_Por_Perm.csv,unique_RealLogs_completion.csv,unique_stratigraphic_picks.csv,Occurances
1265,31_4_A_14,0,0,0,0,0,0,1,0,0,1
1266,31_5_4S,0,0,0,0,0,0,1,0,0,1
1267,30_9_4_S,0,0,0,0,0,0,1,0,0,1
1268,30_3_2,0,0,1,1,0,0,1,0,1,4
1269,34_7_16,0,0,0,1,0,0,0,0,1,2
1270,15_6_7,0,0,0,0,1,0,0,0,1,2
1271,7_12_A_13A,0,0,0,0,0,0,1,0,0,1
1272,7120_6_2,0,0,0,0,0,0,1,0,0,1
1273,2_1_9,0,0,1,0,0,0,1,0,0,2
1274,30_6_2,0,0,0,0,0,0,1,0,1,2
1275,30_9_9,0,0,1,0,0,0,1,0,1,3
1276,33_9_A22,0,0,0,0,0,0,1,0,0,1
1277,25_11_16,0,0,1,0,0,0,1,0,1,3
1278,16_1_12,0,0,1,0,0,0,0,0,1,2
1279,25_11_22,0,0,0,0,1,0,0,0,1,2
1280,2_1_A_12,0,0,0,0,0,0,1,0,0,1
1281,6407_9_7,0,0,0,0,1,0,0,0,0,1
1282,6407_9_2,1,1,0,0,1,1,1,1,0,6
1283,18_10_1,0,0,1,0,0,0,1,0,1,3
1284,25_8_8_S,0,0,0,0,0,0,1,0,0,1
1285,34_10_C_2,0,0,0,0,0,0,1,0,0,1
1286,25_10_6S,0,0,0,0,0,0,1,0,0,1
1287,6507_3_4,0,0,0,0,0,0,1,0,0,1
1288,7_7_4,0,0,0,0,0,0,0,0,1,1
1289,1_9_6,0,0,0,0,0,0,1,0,0,1
1290,16_1_17,0,0,0,0,0,0,1,0,1,2
1291,6506_11_7,0,0,1,0,0,0,1,0,0,2
1292,31_3_1,0,0,0,1,0,0,1,0,1,3
1293,2_8_8,0,0,0,0,0,0,1,0,0,1
1294,33_9_L_3H,0,0,0,0,0,0,1,0,0,1
1295,7120_1_1_R2,0,0,0,0,0,0,1,0,0,1
1296,15_12_10S,0,0,0,0,0,0,1,0,0,1
1297,25_8_1,0,0,1,1,1,0,0,0,1,4
1298,6407_4_2,0,0,0,0,0,0,1,0,0,1
1299,34_7_34,0,0,1,0,0,0,1,0,1,3
1300,30_3_A_15,0,0,0,0,0,0,1,0,0,1
1301,30_6_C14,0,0,0,0,0,0,1,0,0,1
1302,34_7_A_3_H,0,0,0,0,0,0,1,0,0,1
1303,34_10_43,0,0,1,0,0,0,0,0,1,2
