Depth.m	Hole ID.-	GR.API	Lithology1.-	Lithology2.-	Lithology3.-	Lithology1.%	Lithology2.%	Lithology3.%	Grain_size_Top.-	Grain_size_Base.-	Sub_Environment.-	Gross_Environment.-
4370.00	6406_8-1	48.95	Sandstone	Shale	 	90.00	10.00	0.00	 	 	Bay	CYCLIC_SEDIMENTATION_IN_A_LOW-ENERGY_SHORELINE_SYSTEM_SUBAERIAL_EXPOSURE_AT_TOP
4370.10	6406_8-1	44.61	Sandstone	Shale	 	90.00	10.00	0.00	 	 	Bay	CYCLIC_SEDIMENTATION_IN_A_LOW-ENERGY_SHORELINE_SYSTEM_SUBAERIAL_EXPOSURE_AT_TOP
4370.20	6406_8-1	38.67	Sandstone	Shale	 	90.00	10.00	0.00	 	 	Bay	CYCLIC_SEDIMENTATION_IN_A_LOW-ENERGY_SHORELINE_SYSTEM_SUBAERIAL_EXPOSURE_AT_TOP
4370.30	6406_8-1	31.97	Sandstone	Shale	 	90.00	10.00	0.00	 	 	Bay	CYCLIC_SEDIMENTATION_IN_A_LOW-ENERGY_SHORELINE_SYSTEM_SUBAERIAL_EXPOSURE_AT_TOP
4370.40	6406_8-1	21.30	Sandstone	Shale	 	90.00	10.00	0.00	 	 	Bay	CYCLIC_SEDIMENTATION_IN_A_LOW-ENERGY_SHORELINE_SYSTEM_SUBAERIAL_EXPOSURE_AT_TOP
4370.50	6406_8-1	10.77	Sandstone	Shale	 	90.00	10.00	0.00	 	 	Bay	CYCLIC_SEDIMENTATION_IN_A_LOW-ENERGY_SHORELINE_SYSTEM_SUBAERIAL_EXPOSURE_AT_TOP
4370.60	6406_8-1	7.40	Sandstone	Shale	 	90.00	10.00	0.00	 	 	Bay	CYCLIC_SEDIMENTATION_IN_A_LOW-ENERGY_SHORELINE_SYSTEM_SUBAERIAL_EXPOSURE_AT_TOP
4370.70	6406_8-1	6.03	Sandstone	Shale	 	90.00	10.00	0.00	 	 	Bay	CYCLIC_SEDIMENTATION_IN_A_LOW-ENERGY_SHORELINE_SYSTEM_SUBAERIAL_EXPOSURE_AT_TOP
4370.80	6406_8-1	5.61	Sandstone	Shale	 	90.00	10.00	0.00	 	 	Bay	CYCLIC_SEDIMENTATION_IN_A_LOW-ENERGY_SHORELINE_SYSTEM_SUBAERIAL_EXPOSURE_AT_TOP
4370.90	6406_8-1	5.20	Sandstone	Shale	 	90.00	10.00	0.00	 	 	Bay	CYCLIC_SEDIMENTATION_IN_A_LOW-ENERGY_SHORELINE_SYSTEM_SUBAERIAL_EXPOSURE_AT_TOP
4371.00	6406_8-1	5.38	Sandstone	Shale	 	90.00	10.00	0.00	 	 	Bay	CYCLIC_SEDIMENTATION_IN_A_LOW-ENERGY_SHORELINE_SYSTEM_SUBAERIAL_EXPOSURE_AT_TOP
4371.10	6406_8-1	5.81	Sandstone	Shale	 	90.00	10.00	0.00	 	 	Bay	CYCLIC_SEDIMENTATION_IN_A_LOW-ENERGY_SHORELINE_SYSTEM_SUBAERIAL_EXPOSURE_AT_TOP
4371.20	6406_8-1	6.25	Sandstone	Shale	 	90.00	10.00	0.00	 	 	Bay	CYCLIC_SEDIMENTATION_IN_A_LOW-ENERGY_SHORELINE_SYSTEM_SUBAERIAL_EXPOSURE_AT_TOP
4371.30	6406_8-1	8.17	Sandstone	Shale	 	75.00	25.00	0.00	silt	f	Bay	CYCLIC_SEDIMENTATION_IN_A_LOW-ENERGY_SHORELINE_SYSTEM_SUBAERIAL_EXPOSURE_AT_TOP
4371.40	6406_8-1	11.18	Sandstone	Shale	 	75.00	25.00	0.00	silt	f	Bay	CYCLIC_SEDIMENTATION_IN_A_LOW-ENERGY_SHORELINE_SYSTEM_SUBAERIAL_EXPOSURE_AT_TOP
4371.50	6406_8-1	14.18	Sandstone	Shale	 	75.00	25.00	0.00	silt	f	Coastal_plain	CYCLIC_SEDIMENTATION_IN_A_LOW-ENERGY_SHORELINE_SYSTEM_SUBAERIAL_EXPOSURE_AT_TOP
4371.60	6406_8-1	17.11	Sandstone	Shale	 	75.00	25.00	0.00	silt	f	Coastal_plain	CYCLIC_SEDIMENTATION_IN_A_LOW-ENERGY_SHORELINE_SYSTEM_SUBAERIAL_EXPOSURE_AT_TOP
4371.70	6406_8-1	19.54	Sandstone	Shale	 	75.00	25.00	0.00	silt	f	Coastal_plain	CYCLIC_SEDIMENTATION_IN_A_LOW-ENERGY_SHORELINE_SYSTEM_SUBAERIAL_EXPOSURE_AT_TOP
4371.80	6406_8-1	23.66	Sandstone	Shale	 	75.00	25.00	0.00	silt	f	Coastal_plain	CYCLIC_SEDIMENTATION_IN_A_LOW-ENERGY_SHORELINE_SYSTEM_SUBAERIAL_EXPOSURE_AT_TOP
4371.90	6406_8-1	30.80	Sandstone	Shale	 	75.00	25.00	0.00	silt	f	Coastal_plain	CYCLIC_SEDIMENTATION_IN_A_LOW-ENERGY_SHORELINE_SYSTEM_SUBAERIAL_EXPOSURE_AT_TOP
