Depth.m	Hole ID.-	GR.API	Lithology1.-	Lithology2.-	Lithology3.-	Lithology1.%	Lithology2.%	Lithology3.%	Grain_size_Top.-	Grain_size_Base.-	Sub_Environment.-	Gross_Environment.-
2852.00	6407_7-3	48.61	Sandstone	 	 	100.00	0.00	0.00	f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2852.10	6407_7-3	48.32	Sandstone	 	 	100.00	0.00	0.00	f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2852.20	6407_7-3	49.74	Sandstone	 	 	100.00	0.00	0.00	f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2852.30	6407_7-3	51.46	Sandstone	 	 	100.00	0.00	0.00	f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2852.40	6407_7-3	53.18	Sandstone	 	 	100.00	0.00	0.00	f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2852.50	6407_7-3	54.90	Sandstone	 	 	100.00	0.00	0.00	f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2852.60	6407_7-3	55.80	Sandstone	 	 	100.00	0.00	0.00	f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2852.70	6407_7-3	55.93	Sandstone	 	 	100.00	0.00	0.00	f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2852.80	6407_7-3	55.67	Sandstone	 	 	100.00	0.00	0.00	f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2852.90	6407_7-3	55.22	Sandstone	 	 	100.00	0.00	0.00	f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2853.00	6407_7-3	54.77	Sandstone	 	 	100.00	0.00	0.00	f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2853.10	6407_7-3	54.77	Sandstone	 	 	100.00	0.00	0.00	f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2853.20	6407_7-3	55.35	Sandstone	 	 	100.00	0.00	0.00	f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2853.30	6407_7-3	55.95	Sandstone	 	 	100.00	0.00	0.00	f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2853.40	6407_7-3	56.15	Sandstone	 	 	100.00	0.00	0.00	f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2853.50	6407_7-3	55.90	Sandstone	 	 	100.00	0.00	0.00	f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2853.60	6407_7-3	55.07	Sandstone	 	 	100.00	0.00	0.00	f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2853.70	6407_7-3	54.06	Sandstone	 	 	100.00	0.00	0.00	f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2853.80	6407_7-3	52.37	Sandstone	 	 	100.00	0.00	0.00	f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2853.90	6407_7-3	50.68	Sandstone	 	 	100.00	0.00	0.00	f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2854.00	6407_7-3	49.13	Sandstone	 	 	100.00	0.00	0.00	f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2854.10	6407_7-3	48.03	Sandstone	 	 	100.00	0.00	0.00	f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2854.20	6407_7-3	47.67	Sandstone	 	 	100.00	0.00	0.00	f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2854.30	6407_7-3	47.88	Sandstone	 	 	100.00	0.00	0.00	f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2854.40	6407_7-3	48.37	Sandstone	 	 	100.00	0.00	0.00	m/c	m/c	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2854.50	6407_7-3	49.46	Sandstone	 	 	100.00	0.00	0.00	m/c	m/c	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2854.60	6407_7-3	50.56	Sandstone	 	 	100.00	0.00	0.00	m/c	m/c	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2854.70	6407_7-3	51.01	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2854.80	6407_7-3	51.09	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2854.90	6407_7-3	50.84	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Mouth_bar/upper_shoreface/mouth_bar	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2855.00	6407_7-3	49.57	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Transgression	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2855.10	6407_7-3	48.65	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Transgression	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2855.20	6407_7-3	48.35	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Transgression	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2855.30	6407_7-3	48.46	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Transgression	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2855.40	6407_7-3	48.80	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Transgression	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2855.50	6407_7-3	49.24	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Transgression	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2855.60	6407_7-3	49.68	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Transgression	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2855.70	6407_7-3	49.84	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Transgression	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2855.80	6407_7-3	49.77	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Transgression	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2855.90	6407_7-3	49.71	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Transgression	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
2856.00	6407_7-3	50.18	Sandstone	 	 	100.00	0.00	0.00	vf/f	f	Transgression	Stacked,_punctuated_progradational_sequences_of_shoreline_or_delta_front
