Depth.m	Hole ID.-	GR.API	Lithology1.-	Lithology2.-	Lithology3.-	Lithology1.%	Lithology2.%	Lithology3.%	Grain_size_Top.-	Grain_size_Base.-	Sub_Environment.-	Gross_Environment.-
1870.00	6407_6-1	76.91	Sandstone	Claystone	 	95.00	5.00	0.00	m/c	m/c	Upper_shoreface	Prograding_shoreline
1870.10	6407_6-1	77.03	Sandstone	Claystone	 	95.00	5.00	0.00	m/c	m/c	Upper_shoreface	Prograding_shoreline
1870.20	6407_6-1	77.14	Sandstone	Claystone	 	95.00	5.00	0.00	m/c	m/c	Upper_shoreface	Prograding_shoreline
1870.30	6407_6-1	77.25	Sandstone	Claystone	 	95.00	5.00	0.00	m/c	m/c	Upper_shoreface	Prograding_shoreline
1870.40	6407_6-1	77.36	Sandstone	Claystone	 	95.00	5.00	0.00	m/c	m/c	Upper_shoreface	Prograding_shoreline
1870.50	6407_6-1	77.48	Sandstone	Claystone	 	95.00	5.00	0.00	m/c	m/c	Upper_shoreface	Prograding_shoreline
1870.60	6407_6-1	77.31	Sandstone	Claystone	 	92.00	8.00	0.00	vc	vc/granule	Upper_shoreface	Prograding_shoreline
1870.70	6407_6-1	76.85	Sandstone	Claystone	 	92.00	8.00	0.00	vc	vc/granule	Upper_shoreface	Prograding_shoreline
1870.80	6407_6-1	76.38	Sandstone	Claystone	 	92.00	8.00	0.00	vc	vc/granule	Upper_shoreface	Prograding_shoreline
1870.90	6407_6-1	75.91	Sandstone	Claystone	 	92.00	8.00	0.00	vc	vc/granule	Upper_shoreface	Prograding_shoreline
1871.00	6407_6-1	75.44	Sandstone	Claystone	 	92.00	8.00	0.00	vc	vc/granule	Upper_shoreface	Prograding_shoreline
1871.10	6407_6-1	74.98	Sandstone	Claystone	 	93.00	7.00	0.00	m/c	m	Upper_shoreface	Prograding_shoreline
1871.20	6407_6-1	74.51	Sandstone	Claystone	 	93.00	7.00	0.00	m/c	m	Upper_shoreface	Prograding_shoreline
1871.30	6407_6-1	74.04	Sandstone	Claystone	 	93.00	7.00	0.00	m/c	m	Upper_shoreface	Prograding_shoreline
1871.40	6407_6-1	73.57	Sandstone	Claystone	 	93.00	7.00	0.00	m/c	m	Upper_shoreface	Prograding_shoreline
1871.50	6407_6-1	73.58	Sandstone	Claystone	 	93.00	7.00	0.00	m/c	m	Upper_shoreface	Prograding_shoreline
1871.60	6407_6-1	73.77	Sandstone	Claystone	 	93.00	7.00	0.00	m/c	m	Upper_shoreface	Prograding_shoreline
1871.70	6407_6-1	73.96	Sandstone	Claystone	 	93.00	7.00	0.00	m/c	m	Upper_shoreface	Prograding_shoreline
1871.80	6407_6-1	74.15	Sandstone	Claystone	 	93.00	7.00	0.00	m/c	m	Upper/Lower_shoreface_transition	Prograding_shoreline
1871.90	6407_6-1	74.34	Sandstone	Claystone	 	93.00	7.00	0.00	m/c	m	Upper/Lower_shoreface_transition	Prograding_shoreline
1872.00	6407_6-1	74.53	 	 	 	100.00	0.00	0.00	 	 	Upper/Lower_shoreface_transition	Prograding_shoreline
1872.10	6407_6-1	74.43	 	 	 	100.00	0.00	0.00	 	 	Upper/Lower_shoreface_transition	Prograding_shoreline
1872.20	6407_6-1	74.29	 	 	 	100.00	0.00	0.00	 	 	Upper/Lower_shoreface_transition	Prograding_shoreline
1872.30	6407_6-1	74.15	 	 	 	100.00	0.00	0.00	 	 	Upper/Lower_shoreface_transition	Prograding_shoreline
