Depth.m	Hole ID.-	GR.API	Lithology1.-	Lithology2.-	Lithology3.-	Lithology1.%	Lithology2.%	Lithology3.%	Grain_size_Top.-	Grain_size_Base.-	Sub_Environment.-	Gross_Environment.-
2548.00	6609_11-1	63.49	Sandstone	 	 	100.00	0.00	0.00	m/c	m/c	STACKED_UPPER_SHOREFACE_SEQUENCES/OR_PROXIMAL_MOUTHBAR	PROGRADING_SHORELINE/_DELTA_FRONT
2548.10	6609_11-1	64.03	Sandstone	 	 	100.00	0.00	0.00	m/c	m/c	STACKED_UPPER_SHOREFACE_SEQUENCES/OR_PROXIMAL_MOUTHBAR	PROGRADING_SHORELINE/_DELTA_FRONT
2548.20	6609_11-1	64.57	Sandstone	 	 	100.00	0.00	0.00	m/c	m/c	STACKED_UPPER_SHOREFACE_SEQUENCES/OR_PROXIMAL_MOUTHBAR	PROGRADING_SHORELINE/_DELTA_FRONT
2548.30	6609_11-1	65.12	Sandstone	 	 	100.00	0.00	0.00	m/c	m/c	STACKED_UPPER_SHOREFACE_SEQUENCES/OR_PROXIMAL_MOUTHBAR	PROGRADING_SHORELINE/_DELTA_FRONT
2548.40	6609_11-1	65.05	Sandstone	 	 	100.00	0.00	0.00	m/c	m/c	STACKED_UPPER_SHOREFACE_SEQUENCES/OR_PROXIMAL_MOUTHBAR	PROGRADING_SHORELINE/_DELTA_FRONT
2548.50	6609_11-1	64.92	Sandstone	 	 	100.00	0.00	0.00	f	f	STACKED_UPPER_SHOREFACE_SEQUENCES/OR_PROXIMAL_MOUTHBAR	PROGRADING_SHORELINE/_DELTA_FRONT
2548.60	6609_11-1	64.80	Sandstone	 	 	100.00	0.00	0.00	f	f	STACKED_UPPER_SHOREFACE_SEQUENCES/OR_PROXIMAL_MOUTHBAR	PROGRADING_SHORELINE/_DELTA_FRONT
2548.70	6609_11-1	64.67	Sandstone	 	 	100.00	0.00	0.00	f	f	STACKED_UPPER_SHOREFACE_SEQUENCES/OR_PROXIMAL_MOUTHBAR	PROGRADING_SHORELINE/_DELTA_FRONT
2548.80	6609_11-1	64.54	Sandstone	 	 	100.00	0.00	0.00	f	f	STACKED_UPPER_SHOREFACE_SEQUENCES/OR_PROXIMAL_MOUTHBAR	PROGRADING_SHORELINE/_DELTA_FRONT
2548.90	6609_11-1	64.70	Sandstone	 	 	100.00	0.00	0.00	f	f	STACKED_UPPER_SHOREFACE_SEQUENCES/OR_PROXIMAL_MOUTHBAR	PROGRADING_SHORELINE/_DELTA_FRONT
2549.00	6609_11-1	64.96	Sandstone	 	 	100.00	0.00	0.00	m/c	m/c	STACKED_UPPER_SHOREFACE_SEQUENCES/OR_PROXIMAL_MOUTHBAR	PROGRADING_SHORELINE/_DELTA_FRONT
