Depth.m	Hole ID.-	GR.API	Lithology1.-	Lithology2.-	Lithology3.-	Lithology1.%	Lithology2.%	Lithology3.%	Grain_size_Top.-	Grain_size_Base.-	Sub_Environment.-	Gross_Environment.-
2713.00	6407_7-1	99.91	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2713.10	6407_7-1	102.12	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2713.20	6407_7-1	100.72	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2713.30	6407_7-1	99.32	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2713.40	6407_7-1	98.01	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2713.50	6407_7-1	97.74	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2713.60	6407_7-1	98.25	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2713.70	6407_7-1	100.26	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2713.80	6407_7-1	102.26	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2713.90	6407_7-1	103.81	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2714.00	6407_7-1	100.31	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2714.10	6407_7-1	96.80	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2714.20	6407_7-1	94.45	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2714.30	6407_7-1	93.58	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2714.40	6407_7-1	93.66	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2714.50	6407_7-1	97.49	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2714.60	6407_7-1	101.35	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2714.70	6407_7-1	103.16	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2714.80	6407_7-1	103.28	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2714.90	6407_7-1	101.30	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2715.00	6407_7-1	98.00	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2715.10	6407_7-1	94.70	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2715.20	6407_7-1	91.40	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2715.30	6407_7-1	88.14	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2715.40	6407_7-1	86.22	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2715.50	6407_7-1	84.29	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2715.60	6407_7-1	83.99	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2715.70	6407_7-1	87.82	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2715.80	6407_7-1	89.65	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2715.90	6407_7-1	89.04	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2716.00	6407_7-1	88.43	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2716.10	6407_7-1	87.14	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2716.20	6407_7-1	85.16	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2716.30	6407_7-1	82.87	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2716.40	6407_7-1	82.79	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2716.50	6407_7-1	80.84	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2716.60	6407_7-1	79.45	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2716.70	6407_7-1	83.00	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2716.80	6407_7-1	81.03	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2716.90	6407_7-1	79.69	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2717.00	6407_7-1	80.53	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2717.10	6407_7-1	81.53	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2717.20	6407_7-1	83.09	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2717.30	6407_7-1	84.66	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2717.40	6407_7-1	87.95	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
2717.50	6407_7-1	90.84	Sandstone	Claystone	 	40.00	60.00	0.00	silt/vf	vf	Open_marine,_distal_sandbar,_Slow_sedimentation	
