Depth.m	Hole ID.-	GR.API	Lithology1.-	Lithology2.-	Lithology3.-	Lithology1.%	Lithology2.%	Lithology3.%	Grain_size_Top.-	Grain_size_Base.-	Sub_Environment.-	Gross_Environment.-
4184.00	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4184.10	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4184.20	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4184.30	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4184.40	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4184.50	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4184.60	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4184.70	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4184.80	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4184.90	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4185.00	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4185.10	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4185.20	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4185.30	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4185.40	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4185.50	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4185.60	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4185.70	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4185.80	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4185.90	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4186.00	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4186.10	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4186.20	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4186.30	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4186.40	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4186.50	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4186.60	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4186.70	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4186.80	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4186.90	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4187.00	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4187.10	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4187.20	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4187.30	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4187.40	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4187.50	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4187.60	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4187.70	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4187.80	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4187.90	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4188.00	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4188.10	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4188.20	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4188.30	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4188.40	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
4188.50	6506_12-6		Shale	 	 	100.00	0.00	0.00	silt/vf	silt/vf	Apne_marine_forhold_Distale_facies,_lavenergiforhold	Distal_marin
