Depth.m	Hole ID.-	GR.API	Lithology1.-	Lithology2.-	Lithology3.-	Lithology1.%	Lithology2.%	Lithology3.%	Grain_size_Top.-	Grain_size_Base.-	Sub_Environment.-	Gross_Environment.-
4211.00	6406_6-1	26.55	Sandstone	 	 	100.00	0.00	0.00	c	c	Verikal_ og_ lateral_ utbygging_ av_ proksimal_ 'braid'-delta_ front/munnings-banke	Braid_ -_ delta_ front_ (munningsbanke)
4211.10	6406_6-1	26.76	Sandstone	 	 	100.00	0.00	0.00	c	c	Verikal_ og_ lateral_ utbygging_ av_ proksimal_ 'braid'-delta_ front/munnings-banke	Braid_ -_ delta_ front_ (munningsbanke)
4211.20	6406_6-1	26.96	Sandstone	 	 	100.00	0.00	0.00	c	c	Verikal_ og_ lateral_ utbygging_ av_ proksimal_ 'braid'-delta_ front/munnings-banke	Braid_ -_ delta_ front_ (munningsbanke)
4211.30	6406_6-1	27.16	Sandstone	 	 	100.00	0.00	0.00	c	c	Verikal_ og_ lateral_ utbygging_ av_ proksimal_ 'braid'-delta_ front/munnings-banke	Braid_ -_ delta_ front_ (munningsbanke)
4211.40	6406_6-1	27.36	Sandstone	 	 	100.00	0.00	0.00	c	c	Verikal_ og_ lateral_ utbygging_ av_ proksimal_ 'braid'-delta_ front/munnings-banke	Braid_ -_ delta_ front_ (munningsbanke)
4211.50	6406_6-1	27.04	Sandstone	 	 	100.00	0.00	0.00	c	c	Verikal_ og_ lateral_ utbygging_ av_ proksimal_ 'braid'-delta_ front/munnings-banke	Braid_ -_ delta_ front_ (munningsbanke)
4211.60	6406_6-1	26.55	Sandstone	 	 	100.00	0.00	0.00	c	c	Verikal_ og_ lateral_ utbygging_ av_ proksimal_ 'braid'-delta_ front/munnings-banke	Braid_ -_ delta_ front_ (munningsbanke)
4211.70	6406_6-1	25.62	Sandstone	 	 	100.00	0.00	0.00	c	c	Verikal_ og_ lateral_ utbygging_ av_ proksimal_ 'braid'-delta_ front/munnings-banke	Braid_ -_ delta_ front_ (munningsbanke)
4211.80	6406_6-1	24.69	Sandstone	 	 	100.00	0.00	0.00	c	c	Verikal_ og_ lateral_ utbygging_ av_ proksimal_ 'braid'-delta_ front/munnings-banke	Braid_ -_ delta_ front_ (munningsbanke)
4211.90	6406_6-1	24.62	Sandstone	 	 	100.00	0.00	0.00	c	c	Verikal_ og_ lateral_ utbygging_ av_ proksimal_ 'braid'-delta_ front/munnings-banke	Braid_ -_ delta_ front_ (munningsbanke)
