Depth.m	Hole ID.-	GR.API	Lithology1.-	Lithology2.-	Lithology3.-	Lithology1.%	Lithology2.%	Lithology3.%	Grain_size_Top.-	Grain_size_Base.-	Sub_Environment.-	Gross_Environment.-
2426.00	6507_11-3	12.19	Sandstone	 	 	100.00	0.00	0.00	vc	vf	Meget_homogen_'foreshore'_-_sekvens,_dominert_av_bolgeprosesser._Sterk_komponent_av_vertikal_oppbyggning_samt_'skjult'_syklisitet_forklarer_trolig_den_ensartede_utviklingen._	Hoy-energi_grunnmarin_sekvens_(?delta_front)
2426.10	6507_11-3	11.87	Sandstone	 	 	100.00	0.00	0.00	vc	vf	Meget_homogen_'foreshore'_-_sekvens,_dominert_av_bolgeprosesser._Sterk_komponent_av_vertikal_oppbyggning_samt_'skjult'_syklisitet_forklarer_trolig_den_ensartede_utviklingen._	Hoy-energi_grunnmarin_sekvens_(?delta_front)
2426.20	6507_11-3	11.90	Sandstone	 	 	100.00	0.00	0.00	vc	vf	Meget_homogen_'foreshore'_-_sekvens,_dominert_av_bolgeprosesser._Sterk_komponent_av_vertikal_oppbyggning_samt_'skjult'_syklisitet_forklarer_trolig_den_ensartede_utviklingen._	Hoy-energi_grunnmarin_sekvens_(?delta_front)
2426.30	6507_11-3	12.08	Sandstone	 	 	100.00	0.00	0.00	vc	vf	Meget_homogen_'foreshore'_-_sekvens,_dominert_av_bolgeprosesser._Sterk_komponent_av_vertikal_oppbyggning_samt_'skjult'_syklisitet_forklarer_trolig_den_ensartede_utviklingen._	Hoy-energi_grunnmarin_sekvens_(?delta_front)
2426.40	6507_11-3	12.26	Sandstone	 	 	100.00	0.00	0.00	vc	vf	Meget_homogen_'foreshore'_-_sekvens,_dominert_av_bolgeprosesser._Sterk_komponent_av_vertikal_oppbyggning_samt_'skjult'_syklisitet_forklarer_trolig_den_ensartede_utviklingen._	Hoy-energi_grunnmarin_sekvens_(?delta_front)
2426.50	6507_11-3	12.43	Sandstone	 	 	100.00	0.00	0.00	vc	vf	Meget_homogen_'foreshore'_-_sekvens,_dominert_av_bolgeprosesser._Sterk_komponent_av_vertikal_oppbyggning_samt_'skjult'_syklisitet_forklarer_trolig_den_ensartede_utviklingen._	Hoy-energi_grunnmarin_sekvens_(?delta_front)
2426.60	6507_11-3	12.61	Sandstone	 	 	100.00	0.00	0.00	vc	vf	Meget_homogen_'foreshore'_-_sekvens,_dominert_av_bolgeprosesser._Sterk_komponent_av_vertikal_oppbyggning_samt_'skjult'_syklisitet_forklarer_trolig_den_ensartede_utviklingen._	Hoy-energi_grunnmarin_sekvens_(?delta_front)
2426.70	6507_11-3	12.64	Sandstone	 	 	100.00	0.00	0.00	vc	vf	Meget_homogen_'foreshore'_-_sekvens,_dominert_av_bolgeprosesser._Sterk_komponent_av_vertikal_oppbyggning_samt_'skjult'_syklisitet_forklarer_trolig_den_ensartede_utviklingen._	Hoy-energi_grunnmarin_sekvens_(?delta_front)
2426.80	6507_11-3	12.45	Sandstone	 	 	100.00	0.00	0.00	vc	vf	Meget_homogen_'foreshore'_-_sekvens,_dominert_av_bolgeprosesser._Sterk_komponent_av_vertikal_oppbyggning_samt_'skjult'_syklisitet_forklarer_trolig_den_ensartede_utviklingen._	Hoy-energi_grunnmarin_sekvens_(?delta_front)
2426.90	6507_11-3	12.25	Sandstone	 	 	100.00	0.00	0.00	vc	vf	Meget_homogen_'foreshore'_-_sekvens,_dominert_av_bolgeprosesser._Sterk_komponent_av_vertikal_oppbyggning_samt_'skjult'_syklisitet_forklarer_trolig_den_ensartede_utviklingen._	Hoy-energi_grunnmarin_sekvens_(?delta_front)
2427.00	6507_11-3	12.05	Sandstone	 	 	100.00	0.00	0.00	vc	vf	Meget_homogen_'foreshore'_-_sekvens,_dominert_av_bolgeprosesser._Sterk_komponent_av_vertikal_oppbyggning_samt_'skjult'_syklisitet_forklarer_trolig_den_ensartede_utviklingen._	Hoy-energi_grunnmarin_sekvens_(?delta_front)
