Depth.m	Hole ID.-	GR.API	Lithology1.-	Lithology2.-	Lithology3.-	Lithology1.%	Lithology2.%	Lithology3.%	Grain_size_Top.-	Grain_size_Base.-	Sub_Environment.-	Gross_Environment.-
1372.00	6608_11-1	86.70	Limestone	Clay	 	40.00	60.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1372.10	6608_11-1	85.63	Limestone	Clay	 	40.00	60.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1372.20	6608_11-1	83.27	Limestone	Clay	 	40.00	60.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1372.30	6608_11-1	81.11	Limestone	Clay	 	40.00	60.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1372.40	6608_11-1	78.94	Limestone	Clay	 	40.00	60.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1372.50	6608_11-1	76.78	Limestone	Clay	 	40.00	60.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1372.60	6608_11-1	76.39	Limestone	Clay	 	40.00	60.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1372.70	6608_11-1	77.95	Limestone	Clay	 	40.00	60.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1372.80	6608_11-1	79.77	Limestone	Clay	 	40.00	60.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1372.90	6608_11-1	81.61	Limestone	Clay	 	40.00	60.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1373.00	6608_11-1	83.46	Limestone	Clay	 	40.00	60.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1373.10	6608_11-1	85.30	Limestone	Clay	 	40.00	60.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1373.20	6608_11-1	85.35	Limestone	Clay	 	40.00	60.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1373.30	6608_11-1	84.42	Limestone	Clay	 	40.00	60.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1373.40	6608_11-1	82.95	Limestone	Clay	 	40.00	60.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1373.50	6608_11-1	81.48	Limestone	Clay	 	40.00	60.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1373.60	6608_11-1	80.01	Limestone	Clay	 	40.00	60.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1373.70	6608_11-1	78.69	Limestone	Coal	 	100.00	0.00	0.00	c/vc	c/vc	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1373.80	6608_11-1	79.26	Limestone	Coal	 	100.00	0.00	0.00	c/vc	c/vc	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1373.90	6608_11-1	81.32	Limestone	Clay	 	50.00	50.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1374.00	6608_11-1	85.26	Limestone	Clay	 	50.00	50.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1374.10	6608_11-1	85.58	Limestone	Clay	 	50.00	50.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1374.20	6608_11-1	84.05	Limestone	Clay	 	50.00	50.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1374.30	6608_11-1	82.51	Limestone	Clay	 	50.00	50.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1374.40	6608_11-1	82.23	Limestone	Clay	 	50.00	50.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1374.50	6608_11-1	83.31	Limestone	Clay	 	50.00	50.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1374.60	6608_11-1	85.36	Limestone	Clay	 	50.00	50.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1374.70	6608_11-1	87.53	Limestone	Clay	 	50.00	50.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1374.80	6608_11-1	89.70	Limestone	Clay	 	50.00	50.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1374.90	6608_11-1	88.89	Limestone	Clay	 	50.00	50.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
1375.00	6608_11-1	87.20	Limestone	Clay	 	50.00	50.00	0.00	silt	silt	SHALLOW_LACUSTRINE_DEPOSITS_HARD-WATER_MARL_LAKE	LACUSTRINE_DEPOSITS
