Depth.m	Hole ID.-	GR.API	Lithology1.-	Lithology2.-	Lithology3.-	Lithology1.%	Lithology2.%	Lithology3.%	Grain_size_Top.-	Grain_size_Base.-	Sub_Environment.-	Gross_Environment.-
3148.00	6506_12-5		Sandstone	Shale	 	15.00	85.00	0.00	vf	vf	Distal/marginal_part_tide_back_system._Slate_suspension_or_very_fine_sand_dominated	Open_marine,_relative_close_to_beach_environment_with_sand_ridges.
3148.10	6506_12-5		Sandstone	Shale	 	15.00	85.00	0.00	vf	vf	Distal/marginal_part_tide_back_system._Slate_suspension_or_very_fine_sand_dominated	Open_marine,_relative_close_to_beach_environment_with_sand_ridges.
3148.20	6506_12-5	15.17	Sandstone	Shale	 	15.00	85.00	0.00	vf	vf	Distal/marginal_part_tide_back_system._Slate_suspension_or_very_fine_sand_dominated	Open_marine,_relative_close_to_beach_environment_with_sand_ridges.
3148.30	6506_12-5	31.56	Sandstone	Shale	 	15.00	85.00	0.00	vf	vf	Distal/marginal_part_tide_back_system._Slate_suspension_or_very_fine_sand_dominated	Open_marine,_relative_close_to_beach_environment_with_sand_ridges.
3148.40	6506_12-5	47.94	Sandstone	Shale	 	15.00	85.00	0.00	vf	vf	Distal/marginal_part_tide_back_system._Slate_suspension_or_very_fine_sand_dominated	Open_marine,_relative_close_to_beach_environment_with_sand_ridges.
3148.50	6506_12-5	56.17	Sandstone	Shale	 	15.00	85.00	0.00	vf	vf	Distal/marginal_part_tide_back_system._Slate_suspension_or_very_fine_sand_dominated	Open_marine,_relative_close_to_beach_environment_with_sand_ridges.
3148.60	6506_12-5	55.58	Sandstone	Shale	 	15.00	85.00	0.00	vf	vf	Distal/marginal_part_tide_back_system._Slate_suspension_or_very_fine_sand_dominated	Open_marine,_relative_close_to_beach_environment_with_sand_ridges.
3148.70	6506_12-5	54.99	Sandstone	Shale	 	15.00	85.00	0.00	vf	vf	Distal/marginal_part_tide_back_system._Slate_suspension_or_very_fine_sand_dominated	Open_marine,_relative_close_to_beach_environment_with_sand_ridges.
3148.80	6506_12-5	54.41	Sandstone	Shale	 	15.00	85.00	0.00	vf	vf	Distal/marginal_part_tide_back_system._Slate_suspension_or_very_fine_sand_dominated	Open_marine,_relative_close_to_beach_environment_with_sand_ridges.
3148.90	6506_12-5	53.82	Sandstone	Shale	 	15.00	85.00	0.00	vf	vf	Distal/marginal_part_tide_back_system._Slate_suspension_or_very_fine_sand_dominated	Open_marine,_relative_close_to_beach_environment_with_sand_ridges.
3149.00	6506_12-5	53.23	Sandstone	Shale	 	15.00	85.00	0.00	vf	vf	Distal/marginal_part_tide_back_system._Slate_suspension_or_very_fine_sand_dominated	Open_marine,_relative_close_to_beach_environment_with_sand_ridges.
3149.10	6506_12-5	53.12	Sandstone	Shale	 	15.00	85.00	0.00	vf	vf	Distal/marginal_part_tide_back_system._Slate_suspension_or_very_fine_sand_dominated	Open_marine,_relative_close_to_beach_environment_with_sand_ridges.
3149.20	6506_12-5	53.22	Sandstone	Shale	 	15.00	85.00	0.00	vf	vf	Distal/marginal_part_tide_back_system._Slate_suspension_or_very_fine_sand_dominated	Open_marine,_relative_close_to_beach_environment_with_sand_ridges.
3149.30	6506_12-5	53.32	Sandstone	Shale	 	15.00	85.00	0.00	vf	vf	Distal/marginal_part_tide_back_system._Slate_suspension_or_very_fine_sand_dominated	Open_marine,_relative_close_to_beach_environment_with_sand_ridges.
3149.40	6506_12-5	54.26	Sandstone	Shale	 	15.00	85.00	0.00	vf	vf	Distal/marginal_part_tide_back_system._Slate_suspension_or_very_fine_sand_dominated	Open_marine,_relative_close_to_beach_environment_with_sand_ridges.
3149.50	6506_12-5	55.40	Sandstone	Shale	 	15.00	85.00	0.00	vf	vf	Distal/marginal_part_tide_back_system._Slate_suspension_or_very_fine_sand_dominated	Open_marine,_relative_close_to_beach_environment_with_sand_ridges.
3149.60	6506_12-5	56.54	Sandstone	Shale	 	15.00	85.00	0.00	vf	vf	Distal/marginal_part_tide_back_system._Slate_suspension_or_very_fine_sand_dominated	Open_marine,_relative_close_to_beach_environment_with_sand_ridges.
