Depth.m	Hole ID.-	GR.API	Lithology1.-	Lithology2.-	Lithology3.-	Lithology1.%	Lithology2.%	Lithology3.%	Grain_size_Top.-	Grain_size_Base.-	Sub_Environment.-	Gross_Environment.-
3938.00	6406_3-3	48.32	Sandstone	Limestone	Shale	57.00	30.00	13.00	m/c	c/vc	Ovre_strand-skraning_eller_proksimal_progr._delta_front_(fan-delta)	Delta_front/progr._kyst
3938.10	6406_3-3	48.81	Sandstone	Limestone	Shale	57.00	30.00	13.00	m/c	c/vc	Ovre_strand-skraning_eller_proksimal_progr._delta_front_(fan-delta)	Delta_front/progr._kyst
3938.20	6406_3-3	49.31	Sandstone	Limestone	Shale	57.00	30.00	13.00	m/c	c/vc	Ovre_strand-skraning_eller_proksimal_progr._delta_front_(fan-delta)	Delta_front/progr._kyst
3938.30	6406_3-3	49.80	Sandstone	Limestone	Shale	57.00	30.00	13.00	m/c	c/vc	Ovre_strand-skraning_eller_proksimal_progr._delta_front_(fan-delta)	Delta_front/progr._kyst
3938.40	6406_3-3	50.29	Sandstone	Limestone	Shale	57.00	30.00	13.00	m/c	c/vc	Ovre_strand-skraning_eller_proksimal_progr._delta_front_(fan-delta)	Delta_front/progr._kyst
3938.50	6406_3-3	50.79	Sandstone	Limestone	Shale	57.00	30.00	13.00	m/c	c/vc	Ovre_strand-skraning_eller_proksimal_progr._delta_front_(fan-delta)	Delta_front/progr._kyst
3938.60	6406_3-3	51.28	Sandstone	Limestone	Shale	57.00	30.00	13.00	m/c	c/vc	Ovre_strand-skraning_eller_proksimal_progr._delta_front_(fan-delta)	Delta_front/progr._kyst
3938.70	6406_3-3	51.77	Sandstone	Limestone	Shale	57.00	30.00	13.00	m/c	c/vc	Ovre_strand-skraning_eller_proksimal_progr._delta_front_(fan-delta)	Delta_front/progr._kyst
3938.80	6406_3-3	52.30	Sandstone	Limestone	Shale	57.00	30.00	13.00	m/c	c/vc	Ovre_strand-skraning_eller_proksimal_progr._delta_front_(fan-delta)	Delta_front/progr._kyst
3938.90	6406_3-3	52.88	Sandstone	Limestone	Shale	57.00	30.00	13.00	m/c	c/vc	Ovre_strand-skraning_eller_proksimal_progr._delta_front_(fan-delta)	Delta_front/progr._kyst
3939.00	6406_3-3	53.46	Sandstone	Limestone	Shale	57.00	30.00	13.00	m/c	c/vc	Ovre_strand-skraning_eller_proksimal_progr._delta_front_(fan-delta)	Delta_front/progr._kyst
3939.10	6406_3-3	54.05	Sandstone	Limestone	Shale	57.00	30.00	13.00	m/c	c/vc	Ovre_strand-skraning_eller_proksimal_progr._delta_front_(fan-delta)	Delta_front/progr._kyst
3939.20	6406_3-3	54.63	Sandstone	Limestone	Shale	57.00	30.00	13.00	m/c	c/vc	Ovre_strand-skraning_eller_proksimal_progr._delta_front_(fan-delta)	Delta_front/progr._kyst
3939.30	6406_3-3	55.21	Sandstone	Limestone	Shale	57.00	30.00	13.00	m/c	c/vc	Ovre_strand-skraning_eller_proksimal_progr._delta_front_(fan-delta)	Delta_front/progr._kyst
3939.40	6406_3-3	55.35	Sandstone	Limestone	Shale	57.00	30.00	13.00	m/c	c/vc	Ovre_strand-skraning_eller_proksimal_progr._delta_front_(fan-delta)	Delta_front/progr._kyst
3939.50	6406_3-3	55.35	Sandstone	Limestone	Shale	57.00	30.00	13.00	m/c	c/vc	Ovre_strand-skraning_eller_proksimal_progr._delta_front_(fan-delta)	Delta_front/progr._kyst
3939.60	6406_3-3	54.90	Sandstone	Limestone	Shale	57.00	30.00	13.00	m/c	c/vc	Ovre_strand-skraning_eller_proksimal_progr._delta_front_(fan-delta)	Delta_front/progr._kyst
3939.70	6406_3-3	53.75	Sandstone	Limestone	Shale	57.00	30.00	13.00	m/c	c/vc	Ovre_strand-skraning_eller_proksimal_progr._delta_front_(fan-delta)	Delta_front/progr._kyst
3939.80	6406_3-3	52.54	Sandstone	Limestone	Shale	57.00	30.00	13.00	m/c	c/vc	Ovre_strand-skraning_eller_proksimal_progr._delta_front_(fan-delta)	Delta_front/progr._kyst
3939.90	6406_3-3	51.54	Sandstone	Limestone	Shale	57.00	30.00	13.00	m/c	c/vc	Ovre_strand-skraning_eller_proksimal_progr._delta_front_(fan-delta)	Delta_front/progr._kyst
3940.00	6406_3-3	51.27	Sandstone	Limestone	Shale	57.00	30.00	13.00	m/c	c/vc	Ovre_strand-skraning_eller_proksimal_progr._delta_front_(fan-delta)	Delta_front/progr._kyst
3940.10	6406_3-3	51.48	Sandstone	Limestone	Shale	57.00	30.00	13.00	m/c	c/vc	Ovre_strand-skraning_eller_proksimal_progr._delta_front_(fan-delta)	Delta_front/progr._kyst
3940.20	6406_3-3	51.71	Sandstone	Limestone	Shale	57.00	30.00	13.00	m/c	c/vc	Ovre_strand-skraning_eller_proksimal_progr._delta_front_(fan-delta)	Delta_front/progr._kyst
3940.30	6406_3-3	52.18	Sandstone	Limestone	Shale	57.00	30.00	13.00	m/c	c/vc	Ovre_strand-skraning_eller_proksimal_progr._delta_front_(fan-delta)	Delta_front/progr._kyst
3940.40	6406_3-3	52.85	Sandstone	Limestone	Shale	57.00	30.00	13.00	m/c	c/vc	Ovre_strand-skraning_eller_proksimal_progr._delta_front_(fan-delta)	Delta_front/progr._kyst
