Depth.m	Hole ID.-	GR.API	Lithology1.-	Lithology2.-	Lithology3.-	Lithology1.%	Lithology2.%	Lithology3.%	Grain_size_Top.-	Grain_size_Base.-	Sub_Environment.-	Gross_Environment.-
2417.00	6407_2-1	95.83	Sandstone	Shale	 	10.00	90.00	0.00	silt	silt	Distal_ 'shelf'_ deposits._ Deep_ water_ (?probably_ restricted_ basin)	DISTAL_ BASIN_ OFFSHORE/PRODELTA
2417.10	6407_2-1	95.38	Sandstone	Shale	 	10.00	90.00	0.00	silt	silt	Distal_ 'shelf'_ deposits._ Deep_ water_ (?probably_ restricted_ basin)	DISTAL_ BASIN_ OFFSHORE/PRODELTA
2417.20	6407_2-1	94.87	Sandstone	Shale	 	10.00	90.00	0.00	silt	silt	Distal_ 'shelf'_ deposits._ Deep_ water_ (?probably_ restricted_ basin)	DISTAL_ BASIN_ OFFSHORE/PRODELTA
2417.30	6407_2-1	93.33	Sandstone	Shale	 	10.00	90.00	0.00	silt	silt	Distal_ 'shelf'_ deposits._ Deep_ water_ (?probably_ restricted_ basin)	DISTAL_ BASIN_ OFFSHORE/PRODELTA
2417.40	6407_2-1	91.78	Sandstone	Shale	 	10.00	90.00	0.00	silt	silt	Distal_ 'shelf'_ deposits._ Deep_ water_ (?probably_ restricted_ basin)	DISTAL_ BASIN_ OFFSHORE/PRODELTA
2417.50	6407_2-1	90.24	Sandstone	Shale	 	10.00	90.00	0.00	silt	silt	Distal_ 'shelf'_ deposits._ Deep_ water_ (?probably_ restricted_ basin)	DISTAL_ BASIN_ OFFSHORE/PRODELTA
2417.60	6407_2-1	89.31	Sandstone	Shale	 	10.00	90.00	0.00	silt	silt	Distal_ 'shelf'_ deposits._ Deep_ water_ (?probably_ restricted_ basin)	DISTAL_ BASIN_ OFFSHORE/PRODELTA
2417.70	6407_2-1	89.31	Sandstone	Shale	 	10.00	90.00	0.00	silt	silt	Distal_ 'shelf'_ deposits._ Deep_ water_ (?probably_ restricted_ basin)	DISTAL_ BASIN_ OFFSHORE/PRODELTA
2417.80	6407_2-1	89.95	Sandstone	Shale	 	10.00	90.00	0.00	silt	silt	Distal_ 'shelf'_ deposits._ Deep_ water_ (?probably_ restricted_ basin)	DISTAL_ BASIN_ OFFSHORE/PRODELTA
2417.90	6407_2-1	89.37	Sandstone	Shale	 	10.00	90.00	0.00	silt	silt	Distal_ 'shelf'_ deposits._ Deep_ water_ (?probably_ restricted_ basin)	DISTAL_ BASIN_ OFFSHORE/PRODELTA
2418.00	6407_2-1	88.58	Sandstone	Shale	 	10.00	90.00	0.00	silt	silt	Distal_ 'shelf'_ deposits._ Deep_ water_ (?probably_ restricted_ basin)	DISTAL_ BASIN_ OFFSHORE/PRODELTA
2418.10	6407_2-1	89.14	Sandstone	Shale	 	10.00	90.00	0.00	silt	silt	Distal_ 'shelf'_ deposits._ Deep_ water_ (?probably_ restricted_ basin)	DISTAL_ BASIN_ OFFSHORE/PRODELTA
2418.20	6407_2-1	89.69	Sandstone	Shale	 	10.00	90.00	0.00	silt	silt	Distal_ 'shelf'_ deposits._ Deep_ water_ (?probably_ restricted_ basin)	DISTAL_ BASIN_ OFFSHORE/PRODELTA
2418.30	6407_2-1	90.25	Sandstone	Shale	 	10.00	90.00	0.00	silt	silt	Distal_ 'shelf'_ deposits._ Deep_ water_ (?probably_ restricted_ basin)	DISTAL_ BASIN_ OFFSHORE/PRODELTA
2418.40	6407_2-1	90.93	Sandstone	Shale	 	10.00	90.00	0.00	silt	silt	Distal_ 'shelf'_ deposits._ Deep_ water_ (?probably_ restricted_ basin)	DISTAL_ BASIN_ OFFSHORE/PRODELTA
2418.50	6407_2-1	91.73	Sandstone	Shale	 	10.00	90.00	0.00	silt	silt	Distal_ 'shelf'_ deposits._ Deep_ water_ (?probably_ restricted_ basin)	DISTAL_ BASIN_ OFFSHORE/PRODELTA
2418.60	6407_2-1	92.53	Sandstone	Shale	 	10.00	90.00	0.00	silt	silt	Distal_ 'shelf'_ deposits._ Deep_ water_ (?probably_ restricted_ basin)	DISTAL_ BASIN_ OFFSHORE/PRODELTA
2418.70	6407_2-1	93.32	Sandstone	Shale	 	10.00	90.00	0.00	silt	silt	Distal_ 'shelf'_ deposits._ Deep_ water_ (?probably_ restricted_ basin)	DISTAL_ BASIN_ OFFSHORE/PRODELTA
2418.80	6407_2-1	94.12	Sandstone	Shale	 	10.00	90.00	0.00	silt	silt	Distal_ 'shelf'_ deposits._ Deep_ water_ (?probably_ restricted_ basin)	DISTAL_ BASIN_ OFFSHORE/PRODELTA
2418.90	6407_2-1	94.92	Sandstone	Shale	 	10.00	90.00	0.00	silt	silt	Distal_ 'shelf'_ deposits._ Deep_ water_ (?probably_ restricted_ basin)	DISTAL_ BASIN_ OFFSHORE/PRODELTA
2419.00	6407_2-1	95.72	Sandstone	Shale	 	10.00	90.00	0.00	silt	silt	Distal_ 'shelf'_ deposits._ Deep_ water_ (?probably_ restricted_ basin)	DISTAL_ BASIN_ OFFSHORE/PRODELTA
2419.10	6407_2-1	96.51	Sandstone	Shale	 	10.00	90.00	0.00	silt	silt	Distal_ 'shelf'_ deposits._ Deep_ water_ (?probably_ restricted_ basin)	DISTAL_ BASIN_ OFFSHORE/PRODELTA
