Depth.m	Hole ID.-	GR.API	Lithology1.-	Lithology2.-	Lithology3.-	Lithology1.%	Lithology2.%	Lithology3.%	Grain_size_Top.-	Grain_size_Base.-	Sub_Environment.-	Gross_Environment.-
3504.00	6507_7-1	92.66	Sandstone	 	 	100.00	0.00	0.00	vc	vc/granule	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3504.10	6507_7-1	92.53	Sandstone	 	 	100.00	0.00	0.00	vc	vc/granule	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3504.20	6507_7-1	89.37	Sandstone	 	 	100.00	0.00	0.00	vc	vc/granule	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3504.30	6507_7-1	85.20	Sandstone	 	 	100.00	0.00	0.00	vc	vc/granule	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3504.40	6507_7-1	81.04	Sandstone	 	 	100.00	0.00	0.00	vc	vc/granule	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3504.50	6507_7-1	75.93	Sandstone	 	 	100.00	0.00	0.00	vc	vc/granule	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3504.60	6507_7-1	70.65	Sandstone	 	 	100.00	0.00	0.00	vc	vc/granule	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3504.70	6507_7-1	65.37	Sandstone	 	 	100.00	0.00	0.00	vc	vc/granule	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3504.80	6507_7-1	61.45	Sandstone	 	 	100.00	0.00	0.00	vc	vc/granule	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3504.90	6507_7-1	59.35	Sandstone	 	 	100.00	0.00	0.00	vc	vc/granule	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3505.00	6507_7-1	59.19	Sandstone	 	 	100.00	0.00	0.00	vc	vc/granule	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3505.10	6507_7-1	60.74	Sandstone	 	 	100.00	0.00	0.00	vc	vc/granule	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3505.20	6507_7-1	63.34	Sandstone	 	 	100.00	0.00	0.00	vc	vc/granule	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3505.30	6507_7-1	65.57	Sandstone	 	 	100.00	0.00	0.00	vc	vc/granule	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3505.40	6507_7-1	67.65	Sandstone	 	 	100.00	0.00	0.00	vc	vc/granule	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3505.50	6507_7-1	68.10	Sandstone	 	 	100.00	0.00	0.00	vc	vc/granule	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3505.60	6507_7-1	68.10	Sandstone	 	 	100.00	0.00	0.00	vc	vc/granule	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3505.70	6507_7-1	68.10	Sandstone	 	 	100.00	0.00	0.00	vc	vc/granule	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3505.80	6507_7-1	70.65	Sandstone	 	 	100.00	0.00	0.00	vc	vc/granule	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3505.90	6507_7-1	76.89	Sandstone	 	 	100.00	0.00	0.00	vc	vc/granule	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3506.00	6507_7-1	84.08	Sandstone	 	 	100.00	0.00	0.00	vc	vc/granule	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3506.10	6507_7-1	93.59	Sandstone	 	 	100.00	0.00	0.00	vc	vc/granule	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3506.20	6507_7-1	99.39	Sandstone	 	 	100.00	0.00	0.00	vc	vc/granule	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3506.30	6507_7-1	99.53	Sandstone	 	 	100.00	0.00	0.00	vc	vc/granule	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3506.40	6507_7-1	98.29	Sandstone	 	 	100.00	0.00	0.00	vc	vc/granule	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3506.50	6507_7-1	95.97	Shale	 	 	100.00	0.00	0.00	silt	silt	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3506.60	6507_7-1	93.66	Shale	 	 	100.00	0.00	0.00	silt	silt	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3506.70	6507_7-1	92.22	Sandstone	 	 	100.00	0.00	0.00	c	f	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3506.80	6507_7-1	93.02	Sandstone	 	 	100.00	0.00	0.00	c	f	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3506.90	6507_7-1	93.82	Sandstone	 	 	100.00	0.00	0.00	c	f	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3507.00	6507_7-1	94.76	Sandstone	 	 	100.00	0.00	0.00	c	f	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3507.10	6507_7-1	95.41	Sandstone	 	 	100.00	0.00	0.00	c	f	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3507.20	6507_7-1	95.11	Sandstone	 	 	100.00	0.00	0.00	c	f	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3507.30	6507_7-1	93.44	Sandstone	 	 	100.00	0.00	0.00	c	f	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3507.40	6507_7-1	91.28	Sandstone	 	 	100.00	0.00	0.00	c	f	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3507.50	6507_7-1	88.48	Sandstone	 	 	100.00	0.00	0.00	c	f	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3507.60	6507_7-1	85.47	Sandstone	 	 	100.00	0.00	0.00	c	f	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3507.70	6507_7-1	80.77	Sandstone	 	 	100.00	0.00	0.00	c	f	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3507.80	6507_7-1	76.08	Sandstone	 	 	100.00	0.00	0.00	c	f	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3507.90	6507_7-1	71.38	Sandstone	 	 	100.00	0.00	0.00	c	f	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3508.00	6507_7-1	68.84	Sandstone	 	 	100.00	0.00	0.00	c	f	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3508.10	6507_7-1	66.76	Sandstone	 	 	100.00	0.00	0.00	c	f	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3508.20	6507_7-1	66.32	Sandstone	 	 	100.00	0.00	0.00	c	f	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3508.30	6507_7-1	66.09	Sandstone	 	 	100.00	0.00	0.00	c	f	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3508.40	6507_7-1	66.91	Sandstone	 	 	100.00	0.00	0.00	c	f	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
3508.50	6507_7-1	67.78	Sandstone	 	 	100.00	0.00	0.00	c	f	?____Ovre_strand_skraning/submarin_sandbanke_______?	?
