Depth.m	Hole ID.-	GR.API	Lithology1.-	Lithology2.-	Lithology3.-	Lithology1.%	Lithology2.%	Lithology3.%	Grain_size_Top.-	Grain_size_Base.-	Sub_Environment.-	Gross_Environment.-
3836.00	6506_12-3	21.52	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3836.10	6506_12-3	21.30	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3836.20	6506_12-3	21.56	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3836.30	6506_12-3	21.91	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3836.40	6506_12-3	22.67	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3836.50	6506_12-3	23.72	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3836.60	6506_12-3	25.24	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3836.70	6506_12-3	26.95	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3836.80	6506_12-3	28.67	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3836.90	6506_12-3	30.18	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3837.00	6506_12-3	30.72	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3837.10	6506_12-3	30.56	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3837.20	6506_12-3	29.18	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3837.30	6506_12-3	27.39	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3837.40	6506_12-3	25.60	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3837.50	6506_12-3	23.66	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3837.60	6506_12-3	21.67	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3837.70	6506_12-3	18.27	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3837.80	6506_12-3	17.21	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3837.90	6506_12-3	16.80	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3838.00	6506_12-3	16.48	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3838.10	6506_12-3	16.16	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3838.20	6506_12-3	15.85	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3838.30	6506_12-3	15.47	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3838.40	6506_12-3	15.04	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3838.50	6506_12-3	14.61	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3838.60	6506_12-3	14.19	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3838.70	6506_12-3	14.25	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3838.80	6506_12-3	14.31	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3838.90	6506_12-3	14.52	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3839.00	6506_12-3	14.78	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3839.10	6506_12-3	15.04	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3839.20	6506_12-3	15.26	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3839.30	6506_12-3	15.48	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3839.40	6506_12-3	15.69	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3839.50	6506_12-3	15.91	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3839.60	6506_12-3	16.07	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3839.70	6506_12-3	16.11	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3839.80	6506_12-3	16.14	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3839.90	6506_12-3	16.18	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3840.00	6506_12-3	16.19	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3840.10	6506_12-3	16.12	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3840.20	6506_12-3	16.03	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3840.30	6506_12-3	15.92	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3840.40	6506_12-3	15.81	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3840.50	6506_12-3	15.70	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3840.60	6506_12-3	15.70	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3840.70	6506_12-3	15.88	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3840.80	6506_12-3	16.06	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3840.90	6506_12-3	16.92	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3841.00	6506_12-3	17.80	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3841.10	6506_12-3	18.47	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3841.20	6506_12-3	18.72	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3841.30	6506_12-3	18.81	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3841.40	6506_12-3	18.81	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3841.50	6506_12-3	18.81	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3841.60	6506_12-3	18.81	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3841.70	6506_12-3	18.86	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3841.80	6506_12-3	19.10	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3841.90	6506_12-3	19.35	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3842.00	6506_12-3	19.59	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3842.10	6506_12-3	19.63	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3842.20	6506_12-3	19.55	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3842.30	6506_12-3	19.43	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3842.40	6506_12-3	19.36	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3842.50	6506_12-3	19.80	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3842.60	6506_12-3	20.24	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3842.70	6506_12-3	20.87	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3842.80	6506_12-3	21.70	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3842.90	6506_12-3	22.52	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3843.00	6506_12-3	22.90	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3843.10	6506_12-3	23.08	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3843.20	6506_12-3	23.54	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3843.30	6506_12-3	24.15	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3843.40	6506_12-3	24.79	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3843.50	6506_12-3	25.42	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3843.60	6506_12-3	25.97	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3843.70	6506_12-3	26.02	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3843.80	6506_12-3	25.87	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3843.90	6506_12-3	25.63	Sandstone	Shale	 	90.00	10.00	0.00	f/m	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3844.00	6506_12-3	25.38	Sandstone	Shale	 	95.00	5.00	0.00	f	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3844.10	6506_12-3	25.13	Sandstone	Shale	 	95.00	5.00	0.00	f	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3844.20	6506_12-3	24.89	Sandstone	Shale	 	95.00	5.00	0.00	f	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3844.30	6506_12-3	24.64	Sandstone	Shale	 	95.00	5.00	0.00	f	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3844.40	6506_12-3	24.79	Sandstone	Shale	 	95.00	5.00	0.00	f	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3844.50	6506_12-3	25.33	Sandstone	Shale	 	95.00	5.00	0.00	f	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3844.60	6506_12-3	25.87	Sandstone	Shale	 	95.00	5.00	0.00	f	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3844.70	6506_12-3	26.03	Sandstone	Shale	 	95.00	5.00	0.00	f	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3844.80	6506_12-3	25.76	Sandstone	Shale	 	95.00	5.00	0.00	f	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3844.90	6506_12-3	25.29	Sandstone	Shale	 	95.00	5.00	0.00	f	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3845.00	6506_12-3	24.82	Sandstone	Shale	 	95.00	5.00	0.00	f	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
3845.10	6506_12-3	25.55	Sandstone	Shale	 	95.00	5.00	0.00	f	f/m	Hovedsakelig_øvre_strandskråning	Proksimal_Delta_Front
