Depth.m	Hole ID.-	GR.API	Lithology1.-	Lithology2.-	Lithology3.-	Lithology1.%	Lithology2.%	Lithology3.%	Grain_size_Top.-	Grain_size_Base.-	Sub_Environment.-	Gross_Environment.-
3930.00	6406_3-2	83.72	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Mouth_ bar,_ fan_ delta_ bar	DELTA_ FRONT
3930.10	6406_3-2	78.81	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Mouth_ bar,_ fan_ delta_ bar	DELTA_ FRONT
3930.20	6406_3-2	71.62	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Mouth_ bar,_ fan_ delta_ bar	DELTA_ FRONT
3930.30	6406_3-2	64.43	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Mouth_ bar,_ fan_ delta_ bar	DELTA_ FRONT
3930.40	6406_3-2	57.92	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Mouth_ bar,_ fan_ delta_ bar	DELTA_ FRONT
3930.50	6406_3-2	52.37	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Mouth_ bar,_ fan_ delta_ bar	DELTA_ FRONT
3930.60	6406_3-2	46.82	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Mouth_ bar,_ fan_ delta_ bar	DELTA_ FRONT
3930.70	6406_3-2	45.54	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Mouth_ bar,_ fan_ delta_ bar	DELTA_ FRONT
3930.80	6406_3-2	44.92	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Mouth_ bar,_ fan_ delta_ bar	DELTA_ FRONT
3930.90	6406_3-2	45.79	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Mouth_ bar,_ fan_ delta_ bar	DELTA_ FRONT
3931.00	6406_3-2	46.67	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Mouth_ bar,_ fan_ delta_ bar	DELTA_ FRONT
3931.10	6406_3-2	47.17	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Mouth_ bar,_ fan_ delta_ bar	DELTA_ FRONT
3931.20	6406_3-2	46.32	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Mouth_ bar,_ fan_ delta_ bar	DELTA_ FRONT
3931.30	6406_3-2	45.46	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Mouth_ bar,_ fan_ delta_ bar	DELTA_ FRONT
3931.40	6406_3-2	44.61	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Mouth_ bar,_ fan_ delta_ bar	DELTA_ FRONT
3931.50	6406_3-2	44.48	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Mouth_ bar,_ fan_ delta_ bar	DELTA_ FRONT
3931.60	6406_3-2	44.81	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Mouth_ bar,_ fan_ delta_ bar	DELTA_ FRONT
3931.70	6406_3-2	45.19	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Mouth_ bar,_ fan_ delta_ bar	DELTA_ FRONT
3931.80	6406_3-2	45.97	Sandstone	 	 	100.00	0.00	0.00	f/m	f/m	Mouth_ bar,_ fan_ delta_ bar	DELTA_ FRONT
