prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
ALBUSKJELL,1985,11,0.02733,0.08333,0.01392,0.00000,0.12458,0.00000,43437
ALBUSKJELL,1985,12,0.02755,0.08389,0.01232,0.00000,0.12376,0.00000,43437
ALBUSKJELL,1986,1,0.02636,0.08096,0.01246,0.00000,0.11979,0.00000,43437
ALBUSKJELL,1986,2,0.02360,0.07132,0.01097,0.00000,0.10589,0.00000,43437
ALBUSKJELL,1986,3,0.02496,0.07911,0.01099,0.00000,0.11505,0.00000,43437
ALBUSKJELL,1986,4,0.01080,0.02562,0.00389,0.00000,0.04030,0.00000,43437
ALBUSKJELL,1986,5,0.02708,0.08215,0.01123,0.00000,0.12046,0.00000,43437
ALBUSKJELL,1986,6,0.02363,0.07879,0.01154,0.00000,0.11396,0.00000,43437
ALBUSKJELL,1986,7,0.02819,0.10231,0.01410,0.00000,0.14459,0.00000,43437
ALBUSKJELL,1986,8,0.02646,0.09335,0.01305,0.00000,0.13286,0.00000,43437
ALBUSKJELL,1986,9,0.02511,0.08593,0.01129,0.00000,0.12233,0.00000,43437
ALBUSKJELL,1986,10,0.02399,0.08775,0.00814,0.00000,0.11987,0.00000,43437
ALBUSKJELL,1986,11,0.02293,0.07961,0.01071,0.00000,0.11325,0.00000,43437
ALBUSKJELL,1986,12,0.02216,0.07861,0.01095,0.00000,0.11171,0.00000,43437
ALBUSKJELL,1987,1,0.02186,0.08076,0.01091,0.00000,0.11352,0.00000,43437
ALBUSKJELL,1987,2,0.01997,0.06918,0.00933,0.00000,0.09847,0.00000,43437
ALBUSKJELL,1987,3,0.02091,0.07480,0.00993,0.00000,0.10564,0.00000,43437
ALBUSKJELL,1987,4,0.01976,0.06784,0.00902,0.00000,0.09662,0.00000,43437
ALBUSKJELL,1987,5,0.01870,0.07323,0.01034,0.00000,0.10227,0.00000,43437
ALBUSKJELL,1987,6,0.01858,0.07026,0.01016,0.00000,0.09900,0.00000,43437
ALBUSKJELL,1987,7,0.01827,0.06807,0.00939,0.00000,0.09572,0.00000,43437
ALBUSKJELL,1987,8,0.00516,0.01959,0.00280,0.00000,0.02755,0.00000,43437
ALBUSKJELL,1987,9,0.01758,0.05929,0.00848,0.00000,0.08535,0.00000,43437
ALBUSKJELL,1987,10,0.02074,0.06740,0.00783,0.00000,0.09597,0.00000,43437
ALBUSKJELL,1987,11,0.01696,0.06021,0.00876,0.00000,0.08593,0.00000,43437
ALBUSKJELL,1987,12,0.01732,0.06762,0.00938,0.00000,0.09432,0.00000,43437
ALBUSKJELL,1988,1,0.01659,0.06258,0.00897,0.00000,0.08814,0.00000,43437
ALBUSKJELL,1988,2,0.01483,0.05805,0.00905,0.00000,0.08192,0.00000,43437
ALBUSKJELL,1988,3,0.01694,0.05732,0.00956,0.00000,0.08382,0.00000,43437
ALBUSKJELL,1988,4,0.01553,0.05616,0.00908,0.00000,0.08077,0.00000,43437
