prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
33/9-6 DELTA,2014,2,0.00003,0.00000,0.00000,0.00000,0.00003,0.00000,44576
7220/11-1 (Alta),2018,7,0.01855,0.00000,0.00000,0.00000,0.01855,0.00015,25288497
7220/11-1 (Alta),2018,8,0.04349,0.00000,0.00000,0.00000,0.04349,0.00050,25288497
7220/11-1 (Alta),2018,9,0.04389,0.00000,0.00000,0.00000,0.04389,0.00247,25288497
ALBUSKJELL,1979,5,0.00417,0.00768,0.00033,0.00000,0.01218,0.00000,43437
ALBUSKJELL,1979,6,0.01164,0.02090,0.00094,0.00000,0.03347,0.00000,43437
ALBUSKJELL,1979,7,0.03491,0.05398,0.00447,0.00000,0.09336,0.00000,43437
ALBUSKJELL,1979,8,0.09623,0.12506,0.01204,0.00000,0.23333,0.00000,43437
ALBUSKJELL,1979,9,0.11020,0.13332,0.01188,0.00000,0.25539,0.00000,43437
ALBUSKJELL,1979,10,0.07179,0.08431,0.00646,0.00000,0.16255,0.00000,43437
ALBUSKJELL,1979,11,0.11057,0.12184,0.01287,0.00000,0.24528,0.00000,43437
ALBUSKJELL,1979,12,0.09166,0.10488,0.01132,0.00000,0.20785,0.00000,43437
ALBUSKJELL,1980,1,0.12131,0.14177,0.01646,0.00000,0.27954,0.00000,43437
ALBUSKJELL,1980,2,0.12968,0.15358,0.01681,0.00000,0.30007,0.00000,43437
ALBUSKJELL,1980,3,0.13100,0.15502,0.01702,0.00000,0.30304,0.00000,43437
ALBUSKJELL,1980,4,0.11327,0.13325,0.01537,0.00000,0.26189,0.00000,43437
ALBUSKJELL,1980,5,0.13429,0.16084,0.01974,0.00000,0.31487,0.00000,43437
ALBUSKJELL,1980,6,0.13854,0.16505,0.02002,0.00000,0.32360,0.00000,43437
ALBUSKJELL,1980,7,0.05997,0.06468,0.00811,0.00000,0.13275,0.00000,43437
ALBUSKJELL,1980,8,0.13056,0.16244,0.01877,0.00000,0.31178,0.00000,43437
ALBUSKJELL,1980,9,0.13058,0.16541,0.02035,0.00000,0.31633,0.00000,43437
ALBUSKJELL,1980,10,0.11866,0.16598,0.01892,0.00000,0.30356,0.00000,43437
ALBUSKJELL,1980,11,0.11634,0.15267,0.01778,0.00000,0.28679,0.00000,43437
ALBUSKJELL,1980,12,0.11748,0.15841,0.01836,0.00000,0.29425,0.00000,43437
ALBUSKJELL,1981,1,0.11303,0.15620,0.01908,0.00000,0.28830,0.00000,43437
ALBUSKJELL,1981,2,0.11391,0.15360,0.01996,0.00000,0.28747,0.00000,43437
ALBUSKJELL,1981,3,0.14166,0.19655,0.02474,0.00000,0.36294,0.00000,43437
