dscName,cmpLongName,dscCurrentActivityStatus,dscHcType,wlbName,nmaName,fldName,dscDateFromInclInField,dscDiscoveryYear,dscResInclInDiscoveryName,dscOwnerKind,dscOwnerName,dscNpdidDiscovery,fldNpdidField,wlbNpdidWellbore,dscFactPageUrl,dscFactMapUrl,dscDateUpdated,dscDateUpdatedMax,DatesyncNPD
35/11-17 (F-Vest),Equinor Energy AS,Included in other discovery,OIL/GAS,35/11-17,North Sea,FRAM,15.12.2017,2014,35/11-4 Fram,PRODUCTION LICENSE,090,24624369,1578840,7408,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=24624369,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1578840,03.10.2019,12.12.2019,24.01.2020
35/11-18 (Syrah),Wintershall Dea Norge AS,Production not evaluated,OIL,35/11-18,North Sea,,,2015,,PRODUCTION LICENSE,248 F,27122993,,7771,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=27122993,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=27122993,18.11.2019,18.11.2019,24.01.2020
35/11-2 Vega Sør,Wintershall Dea Norge AS,Included in other discovery,OIL/GAS,35/11-2,North Sea,VEGA,30.08.2012,1987,35/8-1 Vega,BUSINESS ARRANGEMENT AREA,VEGA UNIT,44744,4467595,893,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44744,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=4467595,18.11.2019,18.11.2019,24.01.2020
35/11-20 B (Beaujolais),Wintershall Dea Norge AS,Production not evaluated,OIL,35/11-20 B,North Sea,,,2016,,PRODUCTION LICENSE,248 F,28543133,,8036,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=28543133,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=28543133,18.11.2019,18.11.2019,24.01.2020
35/11-20 S (Orion),Wintershall Dea Norge AS,Production not evaluated,OIL,35/11-20 S,North Sea,,,2016,,PRODUCTION LICENSE,248 F,28543142,,7978,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=28543142,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=28543142,18.11.2019,18.11.2019,24.01.2020
35/11-22 S (Bergand),Equinor Energy AS,Production not evaluated,OIL,35/11-22 S,North Sea,,,2019,,PRODUCTION LICENSE,248 C,34353155,,8627,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=34353155,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=34353155,03.10.2019,03.10.2019,24.01.2020
35/11-23 (Echino Sør),Equinor Energy AS,Production not evaluated,OIL/GAS,35/11-23,North Sea,,,2019,,PRODUCTION LICENSE,090,35318442,,8929,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=35318442,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=35318442,07.11.2019,12.12.2019,24.01.2020
35/11-4 Fram,Equinor Energy AS,Producing,OIL/GAS,35/11-4,North Sea,FRAM,23.03.2001,1990,,PRODUCTION LICENSE,090,44750,1578840,1523,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44750,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1578840,03.10.2019,12.12.2019,24.01.2020
35/11-5,Equinor Energy AS,Production is unlikely,OIL/GAS,35/11-5,North Sea,,,1991,,PRODUCTION LICENSE,090,20460562,,1780,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=20460562,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=20460562,03.10.2019,12.12.2019,24.01.2020
35/11-7,Equinor Energy AS,Included in other discovery,OIL/GAS,35/11-7,North Sea,FRAM,23.03.2001,1992,35/11-4 Fram,PRODUCTION LICENSE,090,44756,1578840,1979,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44756,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1578840,03.10.2019,12.12.2019,24.01.2020
35/11-8 S,Equinor Energy AS,Included in other discovery,OIL/GAS,35/11-8 S,North Sea,FRAM,23.03.2001,1996,35/11-4 Fram,PRODUCTION LICENSE,090,44762,1578840,2772,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44762,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1578840,03.10.2019,12.12.2019,24.01.2020
35/11-B-23-H,Equinor Energy AS,Included in other discovery,OIL,35/11-B-23 H,North Sea,FRAM,05.12.2008,2008,35/11-4 Fram,PRODUCTION LICENSE,090,4972656,1578840,5641,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=4972656,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1578840,03.10.2019,12.12.2019,24.01.2020
35/12-2 (Grosbeak),Wellesley Petroleum AS,"Production likely, but unclarified",OIL/GAS,35/12-2,North Sea,,,2009,,PRODUCTION LICENSE,925,5818175,,6095,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=5818175,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=5818175,09.01.2020,09.01.2020,24.01.2020
35/12-6 S,Wellesley Petroleum AS,Production not evaluated,OIL,35/12-6 S,North Sea,,,2018,,PRODUCTION LICENSE,925,32036437,,8431,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=32036437,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=32036437,03.10.2019,03.10.2019,24.01.2020
35/2-1 (Peon),Equinor Energy AS,Production in clarification phase,GAS,35/2-1,North Sea,,,2005,,PRODUCTION LICENSE,318,3465397,,5135,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=3465397,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=3465397,09.01.2020,09.01.2020,24.01.2020
