dscName,cmpLongName,dscCurrentActivityStatus,dscHcType,wlbName,nmaName,fldName,dscDateFromInclInField,dscDiscoveryYear,dscResInclInDiscoveryName,dscOwnerKind,dscOwnerName,dscNpdidDiscovery,fldNpdidField,wlbNpdidWellbore,dscFactPageUrl,dscFactMapUrl,dscDateUpdated,dscDateUpdatedMax,DatesyncNPD
1/2-1 Blane,Repsol Norge AS,Producing,OIL,1/2-1,North Sea,BLANE,01.07.2005,1989,,BUSINESS ARRANGEMENT AREA,BLANE UNIT,43814,3437650,1382,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43814,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=3437650,03.10.2019,03.10.2019,24.01.2020
1/3-1,OMV (Norge) AS,Production is unlikely,GAS,1/3-1,North Sea,,,1968,,PRODUCTION LICENSE,970,43820,,154,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43820,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=43820,11.10.2019,03.10.2019,24.01.2020
1/3-11 (Ipswich),OMV (Norge) AS,Production is unlikely,OIL,1/3-11,North Sea,,,2008,,PRODUCTION LICENSE,970,4999216,,5806,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=4999216,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=4999216,11.10.2019,03.10.2019,24.01.2020
1/3-3 Tambar,Aker BP ASA,Producing,OIL,1/3-3,North Sea,TAMBAR,10.04.2000,1983,,PRODUCTION LICENSE,065,43826,1028599,87,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43826,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1028599,03.10.2019,03.01.2020,24.01.2020
1/3-6 Oselvar,DNO Norge AS,Shut down,GAS/CONDENSATE,1/3-6,North Sea,OSELVAR,19.06.2009,1991,,PRODUCTION LICENSE,274,43832,5506919,1521,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43832,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=5506919,03.01.2020,03.01.2020,24.01.2020
1/3-K-5 Tambar Øst,Aker BP ASA,Producing,OIL,1/3-K-5,North Sea,TAMBAR ØST,28.06.2007,2007,,BUSINESS ARRANGEMENT AREA,TAMBAR ØST UNIT,4999519,4999528,5485,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=4999519,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=4999528,03.10.2019,03.01.2020,24.01.2020
1/5-2 Flyndre,Total Oil UK Limited,Producing,OIL,1/5-2,North Sea,FLYNDRE,23.05.2014,1974,,BUSINESS ARRANGEMENT AREA,FLYNDRE UNIT,43838,24635035,238,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43838,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=24635035,03.10.2019,03.10.2019,24.01.2020
1/5-3 S,,Production is unlikely,OIL,1/5-3 S,North Sea,,,1998,,,,3000726,,3257,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=3000726,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=3000726,03.10.2019,03.10.2019,24.01.2020
1/6-1 Albuskjell,ConocoPhillips Skandinavia AS,Shut down,GAS/CONDENSATE,1/6-1,North Sea,ALBUSKJELL,25.04.1975,1972,,PRODUCTION LICENSE,018,43844,43437,239,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43844,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43437,03.10.2019,03.10.2019,24.01.2020
1/9-1 Tommeliten Alpha,ConocoPhillips Skandinavia AS,Production in clarification phase,GAS/CONDENSATE,1/9-1,North Sea,,,1977,,BUSINESS ARRANGEMENT AREA,TOMMELITEN UNIT,43850,,243,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43850,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=43850,09.01.2020,10.01.2020,24.01.2020
1/9-4 Tommeliten Gamma,ConocoPhillips Skandinavia AS,Shut down,GAS/CONDENSATE,1/9-4,North Sea,TOMMELITEN GAMMA,12.06.1986,1978,,BUSINESS ARRANGEMENT AREA,TOMMELITEN UNIT,43856,43444,247,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43856,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43444,03.10.2019,03.10.2019,24.01.2020
15/12 (Flemming),Repsol Norge AS,Production is unlikely,,?,North Sea,,,1991,,,,48241,,0,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=48241,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=48241,03.10.2019,03.10.2019,24.01.2020
15/12-12 Rev,Repsol Norge AS,Producing,OIL/GAS,15/12-12,North Sea,REV,15.06.2007,2001,,PRODUCTION LICENSE,038 C,1626017,4467554,3391,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=1626017,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=4467554,03.10.2019,03.10.2019,24.01.2020
15/12-18 A,OKEA ASA,Included in other discovery,OIL,15/12-18 A,North Sea,,,2007,15/12-18 S (Storskrymten),PRODUCTION LICENSE,974,4554325,,5608,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=4554325,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=4554325,03.10.2019,11.12.2019,24.01.2020
15/12-18 S (Storskrymten),OKEA ASA,Production in clarification phase,OIL,15/12-18 S,North Sea,,,2007,,PRODUCTION LICENSE,974,4554315,,5607,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=4554315,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=4554315,09.01.2020,09.01.2020,24.01.2020
15/12-19,A/S Norske Shell,Included in other discovery,GAS,15/12-19,North Sea,GAUPE,25.06.2010,2008,6/3-1 PI,PRODUCTION LICENSE,292,4972729,18161341,5705,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=4972729,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=18161341,03.10.2019,03.10.2019,24.01.2020
15/12-20 S,,Included in other discovery,OIL,15/12-20 S,North Sea,VARG,01.12.2008,2008,15/12-4 Varg,,,5010042,43451,5824,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=5010042,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43451,03.10.2019,03.10.2019,24.01.2020
15/12-21 (Grevling),OKEA ASA,Production in clarification phase,OIL,15/12-21,North Sea,,,2009,,PRODUCTION LICENSE,038 D,5490719,,6047,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=5490719,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=5490719,03.10.2019,11.12.2019,24.01.2020
15/12-4 Varg,,Shut down,OIL,15/12-4,North Sea,VARG,03.05.1996,1984,,,,43868,43451,438,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43868,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43451,03.10.2019,03.10.2019,24.01.2020
15/12-8,,Production is unlikely,GAS/CONDENSATE,15/12-8,North Sea,,,1991,,,,43874,,1778,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43874,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=43874,03.10.2019,03.10.2019,24.01.2020
15/3-1 S Gudrun,Equinor Energy AS,Producing,GAS/CONDENSATE,15/3-1 S,North Sea,GUDRUN,16.06.2010,1975,,PRODUCTION LICENSE,025,43880,18116481,309,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43880,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=18116481,03.10.2019,03.10.2019,24.01.2020
15/3-4 (Sigrun),Equinor Energy AS,Production not evaluated,OIL/GAS,15/3-4,North Sea,,,1982,,PRODUCTION LICENSE,025,43886,,314,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43886,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=43886,09.01.2020,09.01.2020,24.01.2020
15/3-9,Equinor Energy AS,Included in other discovery,OIL/GAS,15/3-9,North Sea,GUDRUN,19.12.2013,2010,15/3-1 S Gudrun,PRODUCTION LICENSE,025,18212532,18116481,6354,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=18212532,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=18116481,03.10.2019,03.10.2019,24.01.2020
15/5 (J-Struktur),,Production is unlikely,GAS,?,,,,1984,,,,5268233,,0,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=5268233,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=5268233,03.10.2019,03.10.2019,24.01.2020
15/5 Enoch,Repsol Sinopec North Sea Limited,Producing,OIL,?,North Sea,ENOCH,01.07.2005,1985,,BUSINESS ARRANGEMENT AREA,ENOCH UNIT,48253,3437659,0,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=48253,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=3437659,03.10.2019,03.01.2020,24.01.2020
15/5-1 Gina Krog,Equinor Energy AS,Producing,OIL/GAS,15/5-1,North Sea,GINA KROG,21.05.2013,1978,,BUSINESS ARRANGEMENT AREA,GINA KROG UNIT,43892,23384544,315,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43892,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=23384544,03.10.2019,03.10.2019,24.01.2020
15/5-2 Eirin,Equinor Energy AS,"Production likely, but unclarified",GAS,15/5-2,North Sea,,,1978,,PRODUCTION LICENSE,048 E,43898,,316,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43898,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=43898,03.10.2019,03.10.2019,24.01.2020
15/5-5 Glitne,Aker BP ASA,Shut down,OIL,15/5-5,North Sea,GLITNE,08.09.2000,1995,,PRODUCTION LICENSE,777 D,43904,1272071,2635,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43904,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1272071,03.10.2019,03.10.2019,24.01.2020
15/6-10 (Freke),Aker BP ASA,Production is unlikely,GAS/CONDENSATE,15/6-10,North Sea,,,2009,,PRODUCTION LICENSE,814,5490439,,6030,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=5490439,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=5490439,03.10.2019,03.10.2019,24.01.2020
15/6-12 (McHenry),Equinor Energy AS,Production is unlikely,OIL,15/6-12,North Sea,,,2011,,BUSINESS ARRANGEMENT AREA,GINA KROG UNIT,20415304,,6518,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=20415304,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=20415304,03.10.2019,03.10.2019,24.01.2020
15/6-13,Equinor Energy AS,Production is unlikely,OIL/GAS,15/6-13,North Sea,,,2015,,BUSINESS ARRANGEMENT AREA,GINA KROG UNIT,26443908,,7667,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=26443908,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=26443908,03.10.2019,03.10.2019,24.01.2020
15/6-3 Sleipner Vest,Equinor Energy AS,Producing,GAS,15/6-3,North Sea,SLEIPNER VEST,14.12.1992,1974,,BUSINESS ARRANGEMENT AREA,SLEIPNER VEST UNIT,43910,43457,318,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43910,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43457,03.10.2019,11.12.2019,24.01.2020
15/8-1 Utgard,Equinor Energy AS,Producing,GAS,15/8-1,North Sea,UTGARD,17.01.2017,1982,,BUSINESS ARRANGEMENT AREA,UTGARD UNIT,43916,28975098,321,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43916,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=28975098,03.10.2019,03.10.2019,24.01.2020
15/9-15 Gungne,Equinor Energy AS,Producing,GAS,15/9-15,North Sea,GUNGNE,29.08.1995,1982,,PRODUCTION LICENSE,046,43922,43464,74,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43922,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43464,03.10.2019,12.12.2019,24.01.2020
15/9-17 Loke,Equinor Energy AS,Included in other discovery,GAS/CONDENSATE,15/9-17,North Sea,SLEIPNER ØST,05.01.2001,1983,15/9-9 Sleipner Øst,BUSINESS ARRANGEMENT AREA,SLEIPNER ØST UNIT,43928,43478,60,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43928,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43478,03.10.2019,11.12.2019,24.01.2020
15/9-19 S Volve,,Shut down,OIL,15/9-19 SR,North Sea,VOLVE,22.04.2005,1993,,,,43934,3420717,2105,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43934,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=3420717,03.10.2019,03.10.2019,24.01.2020
15/9-20 S,Equinor Energy AS,Included in other discovery,GAS/CONDENSATE,15/9-20 S,North Sea,GUNGNE,02.11.2000,1994,15/9-15 Gungne,PRODUCTION LICENSE,046,43940,43464,2319,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43940,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43464,03.10.2019,12.12.2019,24.01.2020
15/9-9 Sleipner Øst,Equinor Energy AS,Producing,GAS/CONDENSATE,15/9-9,North Sea,SLEIPNER ØST,15.12.1986,1981,,BUSINESS ARRANGEMENT AREA,SLEIPNER ØST UNIT,43946,43478,328,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43946,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43478,03.10.2019,11.12.2019,24.01.2020
15/9-B-1,Equinor Energy AS,Included in other discovery,GAS/CONDENSATE,15/9-B-1,North Sea,SLEIPNER VEST,24.11.2010,2009,15/6-3 Sleipner Vest,BUSINESS ARRANGEMENT AREA,SLEIPNER VEST UNIT,17250040,43457,5870,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=17250040,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43457,03.10.2019,11.12.2019,24.01.2020
16/1-12 (Rolvsnes),Lundin Norway AS,Production in clarification phase,OIL,16/1-12,North Sea,,,2009,,PRODUCTION LICENSE,338 C,17196400,,6166,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=17196400,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=17196400,03.10.2019,03.10.2019,24.01.2020
16/1-14 (Apollo),Lundin Norway AS,Production not evaluated,OIL,16/1-14,North Sea,,,2010,,PRODUCTION LICENSE,338,18437181,,6399,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=18437181,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=18437181,03.10.2019,18.11.2019,24.01.2020
16/1-26 S,Aker BP ASA,Production not evaluated,OIL/GAS,16/1-26 S,North Sea,,,2016,,BUSINESS ARRANGEMENT AREA,IVAR AASEN UNIT,28245194,,7915,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=28245194,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=28245194,03.10.2019,18.11.2019,24.01.2020
16/1-29 S (Lille Prinsen),Equinor Energy AS,Production not evaluated,OIL/GAS,16/1-29 S,North Sea,,,2018,,PRODUCTION LICENSE,167,32017087,,8383,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=32017087,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=32017087,03.10.2019,03.10.2019,24.01.2020
16/1-4,Lundin Norway AS,Production is unlikely,GAS/CONDENSATE,16/1-4,North Sea,,,1993,,PRODUCTION LICENSE,338,3000757,,2072,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=3000757,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=3000757,03.10.2019,18.11.2019,24.01.2020
16/1-6 S (Verdandi),Equinor Energy AS,Production is unlikely,GAS,16/1-6 S,North Sea,,,2003,,PRODUCTION LICENSE,167,2449370,,4711,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=2449370,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=2449370,03.10.2019,03.10.2019,24.01.2020
16/1-7,Aker BP ASA,Included in other discovery,OIL,16/1-7,North Sea,IVAR AASEN,21.05.2013,2004,16/1-9 Ivar Aasen,BUSINESS ARRANGEMENT AREA,IVAR AASEN UNIT,2819923,23384520,4928,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=2819923,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=23384520,03.10.2019,03.10.2019,24.01.2020
16/1-8 Edvard Grieg,Lundin Norway AS,Producing,OIL,16/1-8,North Sea,EDVARD GRIEG,11.06.2012,2007,,PRODUCTION LICENSE,338,4530554,21675433,5612,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=4530554,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=21675433,03.10.2019,18.11.2019,24.01.2020
16/1-9 Ivar Aasen,Aker BP ASA,Producing,OIL,16/1-9,North Sea,IVAR AASEN,21.05.2013,2008,,BUSINESS ARRANGEMENT AREA,IVAR AASEN UNIT,4972697,23384520,5773,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=4972697,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=23384520,03.10.2019,03.10.2019,24.01.2020
16/2-3 (Ragnarock),Equinor Energy AS,Production not evaluated,OIL,16/2-3,North Sea,,,2007,,PRODUCTION LICENSE,265,4527337,,5551,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=4527337,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=4527337,03.10.2019,03.10.2019,24.01.2020
16/2-4,Equinor Energy AS,Production not evaluated,OIL/GAS,16/2-4,North Sea,,,2007,,PRODUCTION LICENSE,265,17237080,,5625,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=17237080,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=17237080,03.10.2019,03.10.2019,24.01.2020
16/2-5,Equinor Energy AS,Production not evaluated,GAS,16/2-5,North Sea,,,2009,,PRODUCTION LICENSE,265,5490457,,6042,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=5490457,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=5490457,03.10.2019,03.10.2019,24.01.2020
16/2-6 Johan Sverdrup,Equinor Energy AS,Producing,OIL,16/2-6,North Sea,JOHAN SVERDRUP,18.06.2015,2010,,BUSINESS ARRANGEMENT AREA,JOHAN SVERDRUP UNIT,18387202,26376286,6374,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=18387202,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=26376286,07.10.2019,07.10.2019,24.01.2020
16/4-4 (Biotitt),ConocoPhillips Skandinavia AS,Production is unlikely,GAS/CONDENSATE,16/4-4,North Sea,,,2007,,PRODUCTION LICENSE,912,4445817,,5441,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=4445817,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=4445817,03.10.2019,03.10.2019,24.01.2020
16/4-6 S Solveig,Lundin Norway AS,Approved for production,OIL,16/4-6 S,North Sea,SOLVEIG,26.06.2019,2013,,PRODUCTION LICENSE,359,23295901,34833011,7098,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=23295901,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=34833011,03.10.2019,18.11.2019,24.01.2020
16/5-8 S (Goddo),Lundin Norway AS,Production not evaluated,OIL,16/5-8 S,North Sea,,,2019,,PRODUCTION LICENSE,815,34949135,,8704,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=34949135,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=34949135,07.11.2019,03.10.2019,24.01.2020
16/7-10,ConocoPhillips Skandinavia AS,Production is unlikely,GAS,16/7-10,North Sea,,,2011,,PRODUCTION LICENSE,912,21060729,,6607,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=21060729,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=21060729,03.10.2019,03.10.2019,24.01.2020
16/7-2,ConocoPhillips Skandinavia AS,Production is unlikely,GAS,16/7-2,North Sea,,,1982,,PRODUCTION LICENSE,912,43952,,40,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43952,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=43952,03.10.2019,03.10.2019,24.01.2020
16/7-4 Sigyn,Equinor Energy AS,Producing,GAS/CONDENSATE,16/7-4,North Sea,SIGYN,31.08.2001,1982,,PRODUCTION LICENSE,072,45625,1630100,91,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=45625,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1630100,03.10.2019,12.12.2019,24.01.2020
16/7-7 S,Equinor Energy AS,Included in other discovery,OIL,16/7-7 S,North Sea,SIGYN,31.08.2001,1997,16/7-4 Sigyn,PRODUCTION LICENSE,072,45641,1630100,3244,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=45641,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1630100,03.10.2019,12.12.2019,24.01.2020
17/12-1 Vette,Repsol Norge AS,"Production likely, but unclarified",OIL,17/12-1 R,North Sea,,,1972,,PRODUCTION LICENSE,972,43964,,514,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43964,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=43964,09.01.2020,09.01.2020,24.01.2020
17/12-2 (Brisling),Repsol Norge AS,Production is unlikely,OIL,17/12-2,North Sea,,,1973,,PRODUCTION LICENSE,972,43970,,340,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43970,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=43970,03.10.2019,03.10.2019,24.01.2020
17/3-1,,Production is unlikely,GAS,17/3-1,North Sea,,,1995,,,,43976,,2576,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43976,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=43976,03.10.2019,03.10.2019,24.01.2020
18/10-1 (Mackerel),Repsol Norge AS,Production is unlikely,OIL,18/10-1,North Sea,,,1980,,PRODUCTION LICENSE,972,43982,,342,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43982,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=43982,03.10.2019,03.10.2019,24.01.2020
2/1-11,,Production is unlikely,OIL,2/1-11,North Sea,,,1997,,,,43988,,2699,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43988,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=43988,03.10.2019,03.10.2019,24.01.2020
2/11-10 S,Aker BP ASA,Included in other discovery,OIL,2/11-10 S,North Sea,HOD,09.01.1997,1994,2/11-2 Hod,PRODUCTION LICENSE,033,43994,43485,2297,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43994,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43485,03.10.2019,03.10.2019,24.01.2020
2/11-2 Hod,Aker BP ASA,Producing,OIL,2/11-2,North Sea,HOD,26.06.1988,1974,,PRODUCTION LICENSE,033,44000,43485,285,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44000,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43485,03.10.2019,03.10.2019,24.01.2020
2/1-17 S (Kark),Aker BP ASA,Production is unlikely,OIL,2/1-17 S,North Sea,,,2019,,PRODUCTION LICENSE,019 C,35318586,,8851,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=35318586,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=35318586,09.01.2020,21.11.2019,24.01.2020
2/12-1 Mjølner,INEOS E&P Norge AS,"Production likely, but unclarified",OIL,2/12-1,North Sea,,,1987,,PRODUCTION LICENSE,113,44006,,1014,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44006,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=44006,03.10.2019,03.10.2019,24.01.2020
2/1-3 Gyda,Repsol Norge AS,Producing,OIL,2/1-3,North Sea,GYDA,02.06.1987,1980,,PRODUCTION LICENSE,019 B,44012,43492,251,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44012,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43492,03.10.2019,03.10.2019,24.01.2020
2/1-9 Gyda Sør,Repsol Norge AS,Included in other discovery,OIL,2/1-9,North Sea,GYDA,19.11.2001,1991,2/1-3 Gyda,PRODUCTION LICENSE,019 B,44018,43492,1667,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44018,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43492,03.10.2019,03.10.2019,24.01.2020
