cmpLongName,fldName,cmpRemainingOil,cmpRemainingGas,cmpRemainingNGL,cmpRemainingCondensate,cmpRemainingOE,cmpDateOffResEstDisplay,cmpShare,fldNpdidField,cmpNpdidCompany,DatesyncNPD
ConocoPhillips Skandinavia AS,COD,0.00,0.00,0.00,0.00,0.00,31.12.2018,35.11200,43785,2410696,24.01.2020
ConocoPhillips Skandinavia AS,EDDA,0.00,0.00,0.00,0.00,0.00,31.12.2018,35.11200,43541,2410696,24.01.2020
ConocoPhillips Skandinavia AS,EKOFISK,25.78,3.87,0.48,0.00,30.56,31.12.2018,35.11200,43506,2410696,24.01.2020
ConocoPhillips Skandinavia AS,ELDFISK,8.09,0.92,0.13,0.00,9.27,31.12.2018,35.11200,43527,2410696,24.01.2020
ConocoPhillips Skandinavia AS,EMBLA,0.26,0.25,0.03,0.00,0.57,31.12.2018,35.11200,43534,2410696,24.01.2020
ConocoPhillips Skandinavia AS,GRANE,1.85,0.00,0.00,0.00,1.85,31.12.2018,6.16640,1035937,2410696,24.01.2020
ConocoPhillips Skandinavia AS,HEIDRUN,8.57,6.12,0.32,0.00,15.30,31.12.2018,23.98823,43771,2410696,24.01.2020
ConocoPhillips Skandinavia AS,OSEBERG,0.42,1.58,0.09,0.00,2.17,31.12.2018,2.40000,43625,2410696,24.01.2020
ConocoPhillips Skandinavia AS,OSEBERG SØR,0.29,0.27,0.02,0.00,0.60,31.12.2018,2.40000,43645,2410696,24.01.2020
ConocoPhillips Skandinavia AS,OSEBERG ØST,0.07,0.00,0.00,0.00,0.07,31.12.2018,2.40000,43639,2410696,24.01.2020
ConocoPhillips Skandinavia AS,TOMMELITEN GAMMA,0.00,0.00,0.00,0.00,0.00,31.12.2018,28.26000,43444,2410696,24.01.2020
ConocoPhillips Skandinavia AS,TOR,0.00,0.00,0.00,0.00,0.00,31.12.2018,30.65799,43520,2410696,24.01.2020
ConocoPhillips Skandinavia AS,TROLL,0.23,12.74,0.21,0.00,13.38,31.12.2018,1.62374,46437,2410696,24.01.2020
ConocoPhillips Skandinavia AS,VEST EKOFISK,0.00,0.00,0.00,0.00,0.00,31.12.2018,35.11200,43513,2410696,24.01.2020
ConocoPhillips Skandinavia AS,VISUND,0.66,3.61,0.44,0.00,5.12,31.12.2018,9.10000,43745,2410696,24.01.2020
ConocoPhillips Skandinavia AS,VISUND SØR,0.02,0.15,0.02,0.00,0.21,31.12.2018,9.10000,20461008,2410696,24.01.2020
ConocoPhillips Skandinavia AS,AASTA HANSTEEN,0.00,5.44,0.00,0.06,5.50,31.12.2018,10.00000,23395946,2410696,24.01.2020
DNO Norge AS,ALVE,0.12,0.86,0.12,0.00,1.20,31.12.2018,32.00000,4444332,29468270,24.01.2020
DNO Norge AS,BRAGE,0.51,0.11,0.03,0.00,0.68,31.12.2018,14.25670,43651,29468270,24.01.2020
DNO Norge AS,ENOCH,0.00,0.00,0.00,0.00,0.00,31.12.2018,1.86000,3437659,29468270,24.01.2020
DNO Norge AS,FENJA,0.82,0.25,0.04,0.00,1.15,31.12.2018,7.50000,31164879,29468270,24.01.2020
DNO Norge AS,MARULK,0.02,0.35,0.03,0.00,0.43,31.12.2018,17.00000,18212090,29468270,24.01.2020
DNO Norge AS,ODA,0.76,0.03,0.00,0.00,0.79,31.12.2018,15.00000,29412516,29468270,24.01.2020
DNO Norge AS,OSELVAR,0.00,0.00,0.00,0.00,0.00,31.12.2018,55.00000,5506919,29468270,24.01.2020
DNO Norge AS,RINGHORNE ØST,0.92,0.00,0.00,0.00,0.92,31.12.2018,22.62000,3505505,29468270,24.01.2020
DNO Norge AS,TAMBAR,0.75,0.19,0.02,0.00,0.97,31.12.2018,45.00000,1028599,29468270,24.01.2020
DNO Norge AS,TAMBAR ØST,0.03,0.00,0.00,0.00,0.03,31.12.2018,37.80000,4999528,29468270,24.01.2020
DNO Norge AS,TRYM,0.10,0.46,0.00,0.00,0.56,31.12.2018,50.00000,18081500,29468270,24.01.2020
DNO Norge AS,ULA,1.50,0.00,0.02,0.00,1.54,31.12.2018,20.00000,43800,29468270,24.01.2020
DNO Norge AS,VILJE,0.69,0.00,0.00,0.00,0.69,31.12.2018,28.85300,3392471,29468270,24.01.2020
Edison Norge AS,DVALIN,0.00,1.79,0.02,0.04,1.88,31.12.2018,10.00000,29393934,25612292,24.01.2020
Edison Norge AS,NOVA,1.37,0.32,0.10,0.00,1.88,31.12.2018,15.00000,33197696,25612292,24.01.2020
Equinor Energy AS,ALBUSKJELL,0.00,0.00,0.00,0.00,0.00,31.12.2018,7.60400,43437,32011216,24.01.2020
Equinor Energy AS,ALVE,0.20,1.42,0.19,0.00,1.98,31.12.2018,53.00000,4444332,32011216,24.01.2020
Equinor Energy AS,BAUGE,3.39,0.80,0.41,0.00,4.97,31.12.2018,42.50000,29446221,32011216,24.01.2020
Equinor Energy AS,BYRDING,0.58,0.46,0.05,0.00,1.14,31.12.2018,70.00000,28975067,32011216,24.01.2020
Equinor Energy AS,COD,0.00,0.00,0.00,0.00,0.00,31.12.2018,7.60400,43785,32011216,24.01.2020
Equinor Energy AS,EDDA,0.00,0.00,0.00,0.00,0.00,31.12.2018,7.60400,43541,32011216,24.01.2020
Equinor Energy AS,EKOFISK,5.58,0.84,0.10,0.00,6.62,31.12.2018,7.60400,43506,32011216,24.01.2020
Equinor Energy AS,ELDFISK,1.75,0.20,0.03,0.00,2.01,31.12.2018,7.60400,43527,32011216,24.01.2020
Equinor Energy AS,EMBLA,0.06,0.05,0.01,0.00,0.12,31.12.2018,7.60400,43534,32011216,24.01.2020
Equinor Energy AS,ENOCH,0.02,0.00,0.00,0.00,0.02,31.12.2018,11.78000,3437659,32011216,24.01.2020
Equinor Energy AS,FRAM,3.29,5.10,0.53,0.00,9.39,31.12.2018,45.00000,1578840,32011216,24.01.2020
Equinor Energy AS,FRAM H-NORD,0.04,0.00,0.00,0.00,0.04,31.12.2018,49.20000,23410947,32011216,24.01.2020
Equinor Energy AS,FRIGG,0.00,0.00,0.00,0.00,0.00,31.12.2018,90.00000,43555,32011216,24.01.2020
Equinor Energy AS,GIMLE,0.00,0.03,0.01,0.00,0.04,31.12.2018,70.91870,4005142,32011216,24.01.2020
Equinor Energy AS,GINA KROG,6.58,7.06,1.22,0.00,15.94,31.12.2018,58.70000,23384544,32011216,24.01.2020
Equinor Energy AS,GOLIAT,7.78,0.00,0.00,0.00,7.78,31.12.2018,35.00000,5774394,32011216,24.01.2020
Equinor Energy AS,GRANE,10.98,0.00,0.00,0.00,10.98,31.12.2018,36.61300,1035937,32011216,24.01.2020
Equinor Energy AS,GUDRUN,2.73,2.82,0.27,0.00,6.05,31.12.2018,36.00000,18116481,32011216,24.01.2020
Equinor Energy AS,GULLFAKS,8.29,0.00,0.00,0.00,8.29,31.12.2018,51.00000,43686,32011216,24.01.2020
Equinor Energy AS,GULLFAKS SØR,4.80,13.26,1.77,0.00,21.42,31.12.2018,51.00000,43699,32011216,24.01.2020
Equinor Energy AS,GUNGNE,0.07,0.34,0.04,0.00,0.50,31.12.2018,62.00000,43464,32011216,24.01.2020
Equinor Energy AS,HANZ,1.15,0.19,0.03,0.00,1.39,31.12.2018,50.00000,25307278,32011216,24.01.2020
Equinor Energy AS,HEIDRUN,4.66,3.33,0.17,0.00,8.32,31.12.2018,13.04316,43771,32011216,24.01.2020
Equinor Energy AS,HEIMDAL,0.00,0.01,0.00,0.00,0.01,31.12.2018,29.44300,43590,32011216,24.01.2020
Equinor Energy AS,HULDRA,0.00,0.00,0.00,0.00,0.00,31.12.2018,70.00000,97002,32011216,24.01.2020
Equinor Energy AS,HYME,0.55,0.24,0.09,0.00,0.95,31.12.2018,42.50000,20474183,32011216,24.01.2020
Equinor Energy AS,IVAR AASEN,7.64,1.22,0.19,0.00,9.21,31.12.2018,41.47300,23384520,32011216,24.01.2020
Equinor Energy AS,JOHAN CASTBERG,44.45,0.00,0.00,0.00,44.45,31.12.2018,50.00000,32017325,32011216,24.01.2020
Equinor Energy AS,JOHAN SVERDRUP,173.31,4.36,1.92,0.00,181.32,31.12.2018,42.62670,26376286,32011216,24.01.2020
Equinor Energy AS,KRISTIN,0.91,1.93,0.43,0.00,3.66,31.12.2018,55.29910,1854729,32011216,24.01.2020
Equinor Energy AS,KVITEBJØRN,1.84,9.22,0.94,0.00,12.85,31.12.2018,39.55000,1036101,32011216,24.01.2020
Equinor Energy AS,LILLE-FRIGG,0.00,0.00,0.00,0.00,0.00,31.12.2018,40.00000,43583,32011216,24.01.2020
Equinor Energy AS,MARTIN LINGE,7.61,18.00,1.53,0.00,28.51,31.12.2018,70.00000,21675447,32011216,24.01.2020
Equinor Energy AS,MARULK,0.04,0.68,0.06,0.00,0.84,31.12.2018,33.00000,18212090,32011216,24.01.2020
Equinor Energy AS,MIKKEL,0.78,4.41,1.12,0.00,7.32,31.12.2018,43.97000,1630514,32011216,24.01.2020
Equinor Energy AS,MORVIN,0.76,0.58,0.15,0.00,1.62,31.12.2018,64.00000,4966234,32011216,24.01.2020
Equinor Energy AS,NJORD,1.33,3.70,1.05,0.00,7.03,31.12.2018,27.50000,43751,32011216,24.01.2020
Equinor Energy AS,NORDØST FRIGG,0.00,0.00,0.00,0.00,0.00,31.12.2018,90.00000,43568,32011216,24.01.2020
Equinor Energy AS,NORNE,1.19,2.09,0.29,0.00,3.82,31.12.2018,39.10000,43778,32011216,24.01.2020
Equinor Energy AS,ODIN,0.00,0.00,0.00,0.00,0.00,31.12.2018,90.00000,43610,32011216,24.01.2020
Equinor Energy AS,ORMEN LANGE,0.00,25.10,0.00,1.20,26.30,31.12.2018,25.34520,2762452,32011216,24.01.2020
Equinor Energy AS,OSEBERG,8.64,32.49,1.77,0.00,44.49,31.12.2018,49.30000,43625,32011216,24.01.2020
Equinor Energy AS,OSEBERG SØR,5.92,5.52,0.50,0.00,12.38,31.12.2018,49.30000,43645,32011216,24.01.2020
Equinor Energy AS,OSEBERG ØST,1.38,0.01,0.02,0.00,1.44,31.12.2018,49.30000,43639,32011216,24.01.2020
Equinor Energy AS,SIGYN,0.11,0.19,0.04,0.00,0.36,31.12.2018,60.00000,1630100,32011216,24.01.2020
Equinor Energy AS,SINDRE,0.00,0.02,0.01,0.00,0.03,31.12.2018,64.73000,29401178,32011216,24.01.2020
Equinor Energy AS,SKARV,2.18,6.01,0.67,0.00,9.47,31.12.2018,36.16500,4704482,32011216,24.01.2020
Equinor Energy AS,SKULD,1.04,0.00,0.00,0.00,1.04,31.12.2018,63.95455,21350124,32011216,24.01.2020
Equinor Energy AS,SLEIPNER VEST,1.31,6.10,0.43,0.00,8.23,31.12.2018,58.34944,43457,32011216,24.01.2020
Equinor Energy AS,SLEIPNER ØST,0.04,0.15,0.02,0.00,0.22,31.12.2018,59.60000,43478,32011216,24.01.2020
Equinor Energy AS,SNORRE,30.54,0.00,0.00,0.00,30.54,31.12.2018,33.27556,43718,32011216,24.01.2020
Equinor Energy AS,SNØHVIT,0.00,57.22,2.06,5.97,67.10,31.12.2018,36.79000,2053062,32011216,24.01.2020
Equinor Energy AS,STATFJORD,1.89,3.06,1.04,0.00,6.94,31.12.2018,44.33688,43658,32011216,24.01.2020
Equinor Energy AS,STATFJORD NORD,0.54,0.03,0.01,0.00,0.59,31.12.2018,21.87500,43679,32011216,24.01.2020
Equinor Energy AS,STATFJORD ØST,0.06,0.01,0.00,0.00,0.08,31.12.2018,31.68750,43672,32011216,24.01.2020
Equinor Energy AS,SVALIN,2.22,0.00,0.00,0.00,2.22,31.12.2018,57.00000,22507971,32011216,24.01.2020
Equinor Energy AS,SYGNA,0.21,0.00,0.00,0.00,0.21,31.12.2018,30.70630,104718,32011216,24.01.2020
Equinor Energy AS,TOR,0.00,0.00,0.00,0.00,0.00,31.12.2018,6.63922,43520,32011216,24.01.2020
Equinor Energy AS,TORDIS,1.81,0.20,0.08,0.00,2.16,31.12.2018,41.50000,43725,32011216,24.01.2020
